Game,WatchTime,StreamTime,PeakViewers,PeakChannels,UniqueStreamers,AverageViewers,AverageChannels,AverageViewerToChannelRatio
Gears of War 4,42410220,1803900,47320,117,4818,951,40,23.51
GeoGuessr,8527560,78300,13411,9,491,191,1,108.91
GetAmped,4414020,23220,8350,6,70,99,0,190.1
Getting Over It,13367100,336420,16843,22,2061,299,7,39.73
Girls Frontline,7399920,470100,963,28,595,165,10,15.74
Go,7211700,125040,12503,7,94,161,2,57.68
God of War,39590220,3239760,18882,159,10190,888,72,12.22
Golf It!,18002280,258420,39468,25,1925,403,5,69.66
Golf With Your Friends,8329320,630360,8332,56,4813,186,14,13.21
Gran Turismo Sport,15678900,305040,6336,28,860,351,6,51.4
Granblue Fantasy,4079100,345420,2102,31,629,91,7,11.81
Grand Theft Auto III,7247160,96180,22895,12,314,162,2,75.35
Grand Theft Auto IV,19810740,170880,20455,17,676,444,3,115.93
Grand Theft Auto V,969877860,27050760,67222,1572,68131,21755,606,35.85
Grand Theft Auto: San Andreas,66259440,933720,17582,48,3314,1486,20,70.96
Grand Theft Auto: Vice City,11874840,187080,11066,13,695,266,4,63.47
Grim Dawn,4555140,389040,3482,21,707,102,8,11.71
Guild Wars 2,35019180,2450460,2313,125,4014,785,54,14.29
Guilty Gear Xrd REV 2,4708620,143580,2635,10,566,105,3,32.79
Guitar Hero III: Legends of Rock,15109080,828300,3330,49,2922,338,18,18.24
Gwent: The Witcher Card Game,74409720,961440,40938,53,1442,1669,21,77.39
Half-Life 2,4075080,210660,8176,17,1002,91,4,19.34
Halo 5: Guardians,24102540,1967100,13919,110,5198,540,44,12.25
Halo: The Master Chief Collection,14509320,971760,8558,54,2873,325,21,14.93
Hand Simulator,11105820,95700,37848,18,1093,249,2,116.05
Harry Potter and the Philosopher's Stone,4544640,31440,8761,5,129,101,0,144.55
Hearthstone,1671624420,10676880,115029,367,23172,37497,239,156.56
Hearts of Iron IV,19404660,621360,9625,40,1608,435,13,31.23
Heavy Rain,9906540,737520,3900,62,4393,222,16,13.43
Hellblade,4500300,260340,4802,25,1318,100,5,17.29
Hello Neighbor,13945260,97500,18897,15,611,312,2,143.03
Heroes of Might and Magic III: The Restoration of Erathia,6541020,13440,8277,5,61,146,0,486.68
Heroes of Might and Magic III: The Shadow of Death,27020820,435660,2743,30,466,606,9,62.02
Heroes of Newerth,11164200,487800,792,24,621,250,10,22.89
Heroes of the Storm,499173900,9668880,40790,341,15698,11197,216,51.63
HITMAN,33280260,552840,14876,37,3028,746,12,60.2
Holdfast: Nations At War,4617900,88380,13298,12,359,103,1,52.25
Hollow Knight,27401100,1646880,11241,81,4225,614,36,16.64
Home Run Derby VR,16174620,1500,120714,10,14,362,0,10783.08
Home Sweet Home,3898200,39480,9042,8,198,87,0,98.74
Horizon Zero Dawn,9620280,1179360,19249,58,3320,215,26,8.16
Hot Lava,8622660,135240,31572,16,832,193,3,63.76
House Flipper,18428520,735420,7541,45,3044,413,16,25.06
Human: Fall Flat,8438760,331260,13699,25,3078,189,7,25.47
Hungry Shark World,5380920,9900,13725,4,141,120,0,543.53
Hunt: Showdown,37648500,2265300,28719,111,4546,844,50,16.62
I Wanna Be The Boshy,47395380,60300,39844,19,304,1063,1,785.99
I Wanna Be The Guy,3978720,204120,1727,13,259,89,4,19.49
Icons: Combat Arena,5427780,173040,25383,47,779,121,3,31.37
In Verbis Virtus,6117540,12060,6169,3,60,137,0,507.26
Infestation: The New Z,20071260,790020,7426,39,939,450,17,25.41
Injustice 2,9544140,372780,22208,22,1947,214,8,25.6
Inside,4593180,98460,14924,9,593,103,2,46.65
iRacing.com,11305440,1080600,1827,184,1521,253,24,10.46
IRL,2884671360,41296260,159265,1327,128913,64707,926,69.85
IRONSIGHT,4210500,862800,1796,56,3438,94,19,4.88
Islands of Nyne: Battle Royale,136463040,4863180,98062,790,13230,3061,109,28.06
Jurassic World Evolution,25887180,1909980,6234,143,5731,580,42,13.55
Just Dance 2018,17307360,128820,11231,13,551,388,2,134.35
Kartrider,12238680,309960,3678,29,768,274,6,39.48
Kerbal Space Program,10492680,476880,2864,27,1245,235,10,22
Killing Floor 2,4116000,1001280,2972,61,4341,92,22,4.11
Kingdom Come: Deliverance,24650280,984780,19574,79,2242,552,22,25.03
Kingdom Hearts HD 1.5 + 2.5 Remix,7337820,456300,4017,50,3629,164,10,16.08
Kingdom Hearts HD I.5 + II.5 Remix,26456820,1734480,4586,105,3014,593,38,15.25
Kingdom Hearts II,8062680,195120,5489,16,480,180,4,41.32
Knight Online,11044440,330540,3190,21,362,247,7,33.41
Layers of Fear,5393100,313560,7045,32,2175,120,7,17.2
League of Legends,4547015040,81803160,229347,2772,138178,101996,1834,55.58
Left 4 Dead 2,12701460,1459860,15227,74,7187,284,32,8.7
Life Is Strange,9316200,890340,14919,54,2955,208,19,10.46
Light Fall,3825360,9060,19023,5,34,85,0,422.23
Lineage II,78336540,2636220,7700,145,1842,1757,59,29.72
Lisa,7246020,52740,4305,7,184,162,1,137.39
Little Nightmares,9122160,248100,18334,18,1359,204,5,36.77
M.U.G.E.N,17388300,126540,1562,7,97,390,2,137.41
Madden NFL 18,15197100,3356700,8683,215,11162,340,75,4.53
Magic: The Gathering,210769620,3056580,19752,240,5832,4727,68,68.96
MapleStory,88179900,3171600,17158,132,4376,1978,71,27.8
MapleStory 2,17326320,1148760,7816,446,2655,388,25,15.08
MapleStory M,19164840,267240,18624,48,670,429,5,71.71
Mario + Rabbids Kingdom Battle,10349400,99420,10296,12,297,232,2,104.1
Mario Kart 8,28216260,921540,28761,56,3410,632,20,30.62
Mario Party 2,4903260,36840,5673,5,165,109,0,133.1
Mario Tennis Aces,62018220,704640,43444,60,2452,1391,15,88.01
MechWarrior Online,6883260,494700,447,30,612,154,11,13.91
Mega Man X,13637040,247500,5288,52,923,305,5,55.1
Mega Man X Anniversary Collection,4671480,266220,4402,80,854,104,5,17.55
Mega Man X4,4467600,44880,9181,11,231,100,1,99.55
Metal Gear Solid V: The Phantom Pain,6360240,781740,2304,34,2693,142,17,8.14
Metin 2,16338420,809940,2368,53,1262,366,18,20.17
Metro: Last Light,4891320,252300,8376,17,888,109,5,19.39
Metroid Prime,4324200,94620,1273,12,252,96,2,45.7
Microsoft Flight Simulator X,13374780,905160,4303,49,1128,300,20,14.78
Might & Magic: Elemental Guardians,13858440,250380,4769,15,297,310,5,55.35
Minecraft,311602260,17305740,48864,687,48608,6989,388,18.01
Miscreated,6151500,338220,2862,31,759,137,7,18.19
MLB The Show 18,20757780,842100,6028,52,2995,465,18,24.65
Mobile Legends: Bang bang,7630860,428820,11875,23,1443,171,9,17.8
Modern Warfare 2,6751020,388320,2812,28,1874,151,8,17.39
Monopoly,3987420,44460,2019,8,297,89,0,89.69
Monster Hunter World,50389800,3641580,9116,204,12855,1130,81,13.84
Mortal Kombat X,8193600,503880,9025,29,2890,183,11,16.26
Mothergunship,9917460,134280,23769,38,704,222,3,73.86
Mount & Blade: Warband,10585200,471180,3593,25,1386,237,10,22.47
Move or Die,3863100,38100,27100,7,430,86,0,101.39
Mu Online,4239660,98220,1678,10,140,95,2,43.16
Music & Performing Arts,277140660,10314840,23620,318,10983,6216,231,26.87
My Summer Car,7916520,163620,6342,14,564,177,3,48.38
NBA 2K18,147918720,7919400,30176,400,22472,3318,177,18.68
Need for Speed: Most Wanted (2005),5720040,84960,22644,11,396,128,1,67.33
Neverwinter,7724880,1003200,1087,44,1850,173,22,7.7
NHL 17,4698300,47220,326,4,108,105,1,99.5
NieR Automata,13201980,826020,24018,46,2987,296,18,15.98
Nioh,19367340,1352460,17371,68,2810,434,30,14.32
No Man's Sky,256753740,8097960,118853,1264,23669,5759,181,31.71
Observer,4698420,245100,6557,29,1206,105,5,19.17
Octopath Traveler,112760580,2892540,41085,360,4240,2529,64,38.98
Old School RuneScape,70423680,1760700,15232,203,4385,1579,39,40
One Hand Clapping,4712820,31800,12328,8,695,105,0,148.2
One Hour One Life,9147660,58080,19142,7,120,205,1,157.5
Ori and the Blind Forest,9505140,597720,9567,36,2308,213,13,15.9
osu!,65085720,7431900,24897,276,27119,1459,166,8.76
Outlast,14455800,817860,13524,47,5326,324,18,17.68
Outlast 2,17757600,530520,31177,36,2966,398,11,33.47
Outpost Zero,6337320,84600,30403,16,310,142,1,74.91
Overcooked!,7234200,102900,12694,10,944,162,2,70.3
Overcooked! 2,10805940,6660,31278,8,45,242,0,1622.51
Overwatch,1512675300,58291440,344591,2360,131507,33931,1307,25.95
Oxygen Not Included,35905140,1063320,7834,46,1868,805,23,33.77
Paladins,44655960,5513100,11043,244,18745,1001,123,8.1
Paper Mario: The Thousand-Year Door,4349460,152940,3172,13,388,97,3,28.44
Party Panic,4083120,11160,29258,7,89,91,0,365.87
Path of Exile,201220080,6788760,26718,298,9114,4513,152,29.64
Payday 2,12103500,1117440,13487,52,4580,271,25,10.83
Persona 5,13451640,894840,5177,49,1547,301,20,15.03
Pillars of Eternity,7280100,224220,8942,21,628,163,5,32.47
Planet Coaster,25912200,613440,6493,41,1913,581,13,42.24
PLAYERUNKNOWN'S BATTLEGROUNDS,2652330240,86971200,579861,3330,146943,59495,1950,30.5
Point Blank,3869820,137040,1573,12,505,86,3,28.24
Pok�mon Emerald,11829660,366540,6871,26,1082,265,8,32.27
Pok�mon FireRed/LeafGreen,9822120,488400,13846,35,1570,220,10,20.11
Pok�mon Go,5066100,204420,1520,34,584,113,4,24.78
Pok�mon Gold/Silver,4481460,84840,1621,11,288,100,1,52.82
Pok�mon HeartGold/SoulSilver,14937840,314820,8368,27,945,335,7,47.45
Pok�mon Platinum,6107760,174480,16187,15,534,137,3,35.01
Pok�mon Quest,5668920,185340,1701,14,561,127,4,30.59
Pok�mon Red/Blue,3913440,192000,10336,17,658,87,4,20.38
Pok�mon Trading Card Game,5901960,35220,9975,12,134,132,0,167.57
Pok�mon Trading Card Game Online,3938820,331740,411,19,915,88,7,11.87
Pok�mon Ultra Sun/Ultra Moon,70599960,2259480,24443,105,3296,1583,50,31.25
Poker,227069820,2764020,21469,160,2868,5093,62,82.15
Portal 2,9353880,771480,7341,44,4519,209,17,12.12
Post Scriptum: The Bloody Seventh,37712580,565860,28921,142,1589,845,12,66.65
Prey,11249460,750600,4629,44,2221,252,16,14.99
Prime World,8219700,363240,482,20,248,184,8,22.63
Pro Evolution Soccer 2018,4643460,390540,12469,26,1518,104,8,11.89
Programming,5294520,630960,2005,30,1436,118,14,8.39
Project CARS 2,6317220,330240,12204,44,1287,141,7,19.13
Project Zomboid,14940840,233700,9249,19,740,335,5,63.93
PUBG MOBILE,25388100,5156880,3213,193,12683,569,115,4.92
Puyo Puyo Tetris,12784740,379980,6788,25,1055,286,8,33.65
Q.U.B.E. 2,5936520,110760,35572,28,702,133,2,53.6
Quake Champions,58504440,2381400,9657,121,7453,1312,53,24.57
Raft,18099000,925860,9164,57,3858,405,20,19.55
Ragnarok Online,14636700,833640,3770,43,930,328,18,17.56
Realm Royale,283957200,9491580,193264,482,26676,6369,212,29.92
Red Dead Redemption,9421080,151740,5131,15,485,211,3,62.09
Red Faction: Guerrilla,5688660,176340,26449,28,958,127,3,32.26
Rend,23008080,311760,28877,204,995,516,6,73.8
Resident Evil,9794520,349920,4805,29,1287,219,7,27.99
Resident Evil 2 (1998),11577480,331140,10539,20,788,259,7,34.96
Resident Evil 3: Nemesis,10623900,156060,10403,12,414,238,3,68.08
Resident Evil 4,40277640,1023420,15000,47,3000,903,22,39.36
Resident Evil 5,8494920,492360,8577,31,1835,190,11,17.25
Resident Evil 7 biohazard,37887240,1278180,17325,69,4604,849,28,29.64
Resident Evil HD Remaster,14809860,391500,6036,25,1164,332,8,37.83
Resident Evil: Code: Veronica X,10896480,92580,8962,11,289,244,2,117.7
Retro,73822500,4196520,29487,166,5013,1655,94,17.59
RimWorld,74247480,1606980,17003,79,2795,1665,36,46.2
Rise of the Tomb Raider,6096780,874800,6241,48,3090,136,19,6.97
ROBLOX,26269740,4009200,37490,169,17097,589,89,6.55
Rocket League,214638900,15046140,42127,679,62448,4814,337,14.27
Rules of Survival,3918660,761400,1781,35,2577,87,17,5.15
RuneScape,238919820,6166020,17396,235,9846,5359,138,38.75
Russian Fishing 4,29912760,1718160,4836,78,1418,670,38,17.41
Rust,137661000,6427260,16199,387,11926,3087,144,21.42
S.T.A.L.K.E.R.: Call of Pripyat,4822320,371220,1987,22,835,108,8,12.99
S.T.A.L.K.E.R.: Shadow of Chernobyl,11471880,242520,18088,19,720,257,5,47.3
Saints Row: The Third,5878860,119400,14251,13,674,131,2,49.24
SAW,4268820,7920,6129,4,35,95,0,538.99
SCP: Secret Laboratory,5732040,348360,11069,27,1745,128,7,16.45
Sea of Thieves,74466060,4694820,48586,605,9419,1670,105,15.86
Shadowverse,46701480,1383000,16796,74,1811,1047,31,33.77
Sid Meier's Civilization V,13890120,720900,3993,39,2054,311,16,19.27
Sid Meier's Civilization VI,9435480,305700,5604,22,1118,211,6,30.87
Silent Hill 3,4015500,53640,17416,7,136,90,1,74.86
skribbl.io,5833860,147120,9108,22,1556,130,3,39.65
Slap City,4423740,219900,7225,22,1157,99,4,20.12
Slay the Spire,78157920,1718040,14047,75,5581,1753,38,45.49
slither.io,4113060,36240,11825,5,361,92,0,113.5
Smite,106102560,6898080,10535,306,14410,2380,154,15.38
Social Eating,15054420,131460,12022,11,1632,337,2,114.52
SOMA,8738220,230100,7960,20,896,196,5,37.98
Sonic Mania,7813380,449700,18232,131,2520,175,10,17.37
Soul at Stake,8598900,185880,3128,20,419,192,4,46.26
Soul Worker,4913400,819540,2676,47,1195,110,18,6
South Park: The Fractured But Whole,5688360,247020,3998,27,1282,127,5,23.03
South Park: The Stick of Truth,3891600,136980,19100,11,735,87,3,28.41
Space Engineers,16809420,600180,6046,49,1388,377,13,28.01
SpeedRunners,5274960,105960,25084,14,1049,118,2,49.78
Spelunky,4493340,144060,3152,12,772,100,3,31.19
Splatoon 2,28854360,2276820,6987,253,4055,647,51,12.67
Squad,8793540,832680,2712,50,2407,197,18,10.56
Star Citizen,32365020,833460,18740,56,1575,725,18,38.83
Star Wars Battlefront II,5516040,862800,1549,43,4974,123,19,6.39
Star Wars: The Old Republic,6470640,916620,1799,45,1445,145,20,7.06
StarCraft,44055000,700500,29975,33,1136,988,15,62.89
StarCraft II,323058960,3991140,81780,152,6762,7246,89,80.94
Stardew Valley,36475140,3433680,9503,146,9631,818,77,10.62
State of Decay 2,4456260,1009200,2856,66,3467,99,22,4.42
Stellaris,7512960,500040,3056,34,1172,168,11,15.02
Stick Fight: The Game,5704500,158220,33073,21,2032,127,3,36.05
Stifled,7925640,21780,29606,7,139,177,0,363.9
Stranded Deep,7305900,56940,4711,7,280,163,1,128.31
Street Fighter V,119286660,2004120,47455,83,4386,2675,44,59.52
Subnautica,25311600,1362960,6648,62,3462,567,30,18.57
Summoners War: Sky Arena,45904800,902700,8288,41,1035,1029,20,50.85
Super Mario 64,30901980,883920,22172,44,1905,693,19,34.96
Super Mario Bros. 2,4679700,28800,1962,5,103,104,0,162.49
Super Mario Bros. 3,7620360,147720,2713,21,462,170,3,51.59
Super Mario Maker,67124040,585480,11563,37,716,1505,13,114.65
Super Mario Odyssey,33727740,655140,167091,39,1497,756,14,51.48
Super Mario Sunshine,8525880,228060,4503,22,639,191,5,37.38
Super Mario World,15374340,450720,3160,42,1221,344,10,34.11
Super Metroid,9783480,453480,15612,35,723,219,10,21.57
Super Monkey Ball 2,4173480,51600,5906,7,122,93,1,80.88
Super Seducer,5843460,35700,10286,6,232,131,0,163.68
Super Smash Bros. for Wii U,43337640,975660,23634,62,2089,972,21,44.42
Super Smash Bros. Melee,35397660,872400,23722,54,2481,794,19,40.58
Tabletop Simulator,23826540,401160,11814,35,1890,534,8,59.39
Tales of Berseria,5378460,373920,5842,23,770,120,8,14.38
Talk Shows & Podcasts,282146460,2972340,69940,127,8530,6328,66,94.92
Team Fortress 2,14265720,1602540,6478,79,5246,320,35,8.9
Tekken 7,82613340,1967820,48985,72,5852,1853,44,41.98
Tera,7860120,1324320,1319,61,3249,176,29,5.94
Terraria,102879480,2544840,13457,98,7006,2307,57,40.43
The Awesome Adventures of Captain Spirit,5148240,391200,5822,64,3724,115,8,13.16
The Binding of Isaac: Afterbirth,35026320,1193640,19291,69,4004,785,26,29.34
The Crew 2,55187640,2365140,33296,205,7084,1237,53,23.33
The Culling,21935280,249120,22784,60,1041,492,5,88.05
The Elder Scrolls IV: Oblivion,31153440,345240,19294,26,1009,698,7,90.24
The Elder Scrolls Online,72630300,4143420,9305,167,7550,1629,92,17.53
The Elder Scrolls V: Skyrim,74917200,4444620,15055,183,11731,1680,99,16.86
The Elder Scrolls: Legends,84998700,830340,3552,37,817,1906,18,102.37
The Evil Within,17828220,457680,8258,26,1417,399,10,38.95
The Evil Within 2,9089520,386220,5956,25,1628,203,8,23.53
The Exorcist: Legion VR,3970380,8580,23566,4,60,89,0,462.75
The Forest,65269680,2710680,20046,135,8948,1464,60,24.08
The Free Ones,4874940,22440,11146,7,127,109,0,217.24
The Jackbox Party Pack 3,18726600,660960,25784,58,3300,420,14,28.33
The Jackbox Party Pack 4,8853600,474540,5776,44,2224,198,10,18.66
The Joy Of Sex,25081560,25800,47693,14,192,562,0,972.15
The Last of Us,51649920,1618500,20445,73,3453,1158,36,31.91
The Legend of Zelda: A Link to the Past,29958840,1542660,9786,118,1943,672,34,19.42
The Legend of Zelda: Breath of the Wild,46478040,1523940,14228,69,2797,1042,34,30.5
