Game,WatchTime,StreamTime,PeakViewers,PeakChannels,UniqueStreamers,AverageViewers,AverageChannels,AverageViewerToChannelRatio
Dragon Ball FighterZ,121701240,3592800,53093,286,14710,2729,80,33.87
Dreadnought,2835600,148140,7014,15,416,63,3,19.14
Duck Game,2817600,57420,26493,8,506,63,1,49.07
Duelyst,3958740,131160,729,15,193,88,2,30.18
Dungeons & Dragons,105380160,2115960,47909,178,3219,2363,47,49.8
Dungreed,71238780,742500,34086,78,2398,1597,16,95.94
Dying Light,13476300,1135260,8814,68,5651,302,25,11.87
EA Sports UFC 3,6221760,243840,6280,16,2859,139,5,25.52
Earthworm Jim,4225200,6840,8638,3,34,94,0,617.72
Eco,10028400,988140,5307,81,1856,224,22,10.15
ELEX,5471280,91380,4156,10,225,122,2,59.87
Elite: Dangerous,15405420,2104740,1994,116,3670,345,47,7.32
Enter the Gungeon,5117400,436080,2314,25,1871,114,9,11.74
Escape From Tarkov,121998480,6453720,15960,310,8643,2736,144,18.9
Eternal,6427920,225120,3672,19,381,144,5,28.55
Euro Truck Simulator 2,19290060,3034800,6222,199,6880,432,68,6.36
Europa Universalis IV,18290580,691260,5681,49,1037,410,15,26.46
EVE Online,14766540,696780,2002,34,929,331,15,21.19
EverQuest,4615500,509700,474,41,456,103,11,9.06
Factorio,11533860,1100880,4808,58,2098,258,24,10.48
Fallout 4,16072380,3609240,1283,147,9232,360,80,4.45
Fallout: New Vegas,10906920,676140,6616,37,1948,244,15,16.13
Far Cry 3,5411760,320280,4666,22,1107,121,7,16.9
Far Cry 4,8167380,714900,3670,52,2654,183,16,11.42
Far Cry 5,613083180,11496480,258270,2864,46193,13752,257,53.33
Farm Together,14396940,335520,29903,25,1099,322,7,42.91
Farming Simulator 17,13186020,1926780,2328,112,3256,295,43,6.84
Fate/Grand Order,6908820,405420,2009,28,634,154,9,17.04
FIFA 17,4067820,207240,4595,15,1347,91,4,19.63
FIFA 18,277345380,9659580,37994,646,32105,6221,216,28.71
FIFA Online 3,4449720,52200,4727,13,215,99,1,85.24
Final Fantasy IX,5318400,477240,592,25,937,119,10,11.14
Final Fantasy Tactics,5270700,68640,3525,10,98,118,1,76.79
Final Fantasy VII,17176380,598860,6477,32,1264,385,13,28.68
Final Fantasy VIII,3237000,318480,383,20,511,72,7,10.16
Final Fantasy X,3177480,147360,1385,13,301,71,3,21.56
Final Fantasy X/X-2 HD Remaster,4785240,790140,801,38,1635,107,17,6.06
Final Fantasy XII: The Zodiac Age,3096600,304140,602,31,1053,69,6,10.18
FINAL FANTASY XIV Online,54864540,6596880,6121,523,9088,1230,147,8.32
Final Fantasy XV,60495480,5527920,16369,692,12161,1357,124,10.94
Final Fantasy: Brave Exvius,3329400,184500,698,16,263,74,4,18.05
Fire Emblem Mobile,5459880,122700,2016,12,286,122,2,44.5
Football Manager 2018,10543320,631260,2891,42,828,236,14,16.7
For Honor,17431020,1965780,27538,93,6580,391,44,8.87
Fortnite,7103470440,363751620,862789,17082,741423,159342,8159,19.53
Forts,4399560,9000,37436,5,49,98,0,488.84
Forza Horizon 3,3442440,630840,7977,39,3574,77,14,5.46
Forza Motorsport 7,2905260,431400,3037,33,1758,65,9,6.73
Free Fire: Battlegrounds,2728560,213720,8163,16,1168,61,4,12.77
Friday the 13th: The Game,15927780,1463280,11900,87,5132,357,32,10.88
Friends Marble,88111140,162600,40295,23,545,1976,3,541.89
FTL: Faster Than Light,10545480,297180,7966,20,1188,236,6,35.49
Games + Demos,71279520,1297620,21161,56,3856,1598,29,54.93
Gang Beasts,6021840,254400,28599,23,2495,135,5,23.67
Garry's Mod,11759700,1012860,13405,65,4884,263,22,11.61
Gears of War 4,16724760,1581000,6822,98,4257,375,35,10.58
GeoGuessr,3965220,71460,6555,10,423,88,1,55.49
Geometry Dash,4886940,728280,4263,44,2703,109,16,6.71
Getting Over It,8979060,467820,19903,31,2959,201,10,19.19
Ghost of a Tale,16608420,361320,49826,51,1214,372,8,45.97
Girls Frontline,5901360,343560,1123,40,409,132,7,17.18
God of War,3877740,69780,4018,9,186,86,1,55.57
God of War Collection,15144060,53040,9432,6,92,339,1,285.52
God of War III,11487720,125520,11889,13,1028,257,2,91.52
Golf It!,14446020,158400,32553,19,1267,324,3,91.2
Golf With Your Friends,8313660,467400,8245,43,3605,186,10,17.79
Golfing Over It with Alva Majo,86012040,210480,69792,102,1363,1929,4,408.65
Gran Turismo Sport,4996320,202200,4964,18,537,112,4,24.71
Granblue Fantasy,5697900,414000,1921,33,872,127,9,13.76
Grand Theft Auto III,2939700,105480,3710,11,324,65,2,27.87
Grand Theft Auto V,626155080,19115160,50916,920,47821,14045,428,32.76
Grand Theft Auto: San Andreas,16866720,780780,5952,46,2562,378,17,21.6
Grand Theft Auto: Vice City,3802500,157320,6495,16,630,85,3,24.17
Guild Wars 2,23073600,2119140,1920,132,3620,517,47,10.89
Guilty Gear Xrd REV 2,4997160,150780,8825,13,548,112,3,33.14
Guitar Hero III: Legends of Rock,13454160,624420,5902,40,2205,301,14,21.55
Gun Gladiators,3285420,2760,14574,2,7,73,0,1190.37
"Guns, Gore and Cannoli 2",5278260,57360,34946,10,340,118,1,92.02
Gwent: The Witcher Card Game,114563040,1561140,46675,72,2470,2569,35,73.38
Half-Life 2,2672280,182280,2608,15,885,59,4,14.66
Halo 5: Guardians,25867440,1781940,12696,99,4789,580,39,14.52
Halo: The Master Chief Collection,5277000,750000,756,41,2340,118,16,7.04
Hand Simulator,4384440,91440,37806,13,1025,98,2,47.95
Hearthstone,1684453440,11388720,149880,399,26716,37784,255,147.91
Hearts of Iron IV,17979780,685560,12633,59,1606,403,15,26.23
Heavy Rain,5230320,55920,5683,7,371,117,1,93.53
Hello Neighbor,3862200,49800,8160,6,282,86,1,77.55
Heroes of Hammerwatch,28954620,582960,6490,37,1256,649,13,49.67
Heroes of Might and Magic III: The Shadow of Death,25885080,426960,4055,31,473,580,9,60.63
Heroes of Newerth,14427420,533700,2207,31,695,323,11,27.03
Heroes of the Storm,320279580,8323740,48779,314,13757,7184,186,38.48
Hokuto ga Gotoku,93069780,394380,50661,103,397,2087,8,235.99
Hollow Knight,4312860,749280,819,38,1956,96,16,5.76
Home Sweet Home,4451460,46740,9155,6,237,99,1,95.24
Horizon Zero Dawn,7781760,1579200,3559,72,4616,174,35,4.93
Human: Fall Flat,12505740,359520,17111,28,2841,280,8,34.78
Hunt: Showdown,50622000,3197160,13092,241,7633,1135,71,15.83
I Wanna Be The Guy,2949060,221640,683,19,261,66,4,13.31
Independence Day,6522780,1440,16628,4,8,146,0,4529.71
Infestation: The New Z,3617460,541680,1173,38,846,81,12,6.68
Injustice 2,9777120,499620,4613,30,2441,219,11,19.57
Into the Breach,47187120,1205880,12904,151,3779,1058,27,39.13
Ion Maiden,3295440,21780,10657,6,190,73,0,151.31
iRacing.com,15469920,1108440,1786,168,1513,347,24,13.96
IRL,1901360940,29128200,134195,998,83712,42650,653,65.28
IRONSIGHT,4035600,625260,2562,39,2585,90,14,6.45
Just Dance 2018,14016420,94740,16320,16,448,314,2,147.95
Kantai Collection,7916100,746040,1423,58,700,177,16,10.61
Kartrider,5725800,218280,6046,28,579,128,4,26.23
Keep Talking and Nobody Explodes,3697140,105060,20274,10,531,82,2,35.19
Kerbal Space Program,26461140,794100,3805,53,1997,593,17,33.32
Killing Floor 2,3734040,804000,7917,71,4020,83,18,4.64
Kingdom Come: Deliverance,64578780,4001520,29622,327,8856,1448,89,16.14
Kingdom Hearts HD I.5 + II.5 Remix,25121700,1062360,12604,63,1810,563,23,23.65
Kirby: Star Allies,23374020,559020,24135,186,1985,524,12,41.81
Knight Online,10584060,265560,3024,20,334,237,5,39.86
League of Legends,5329221780,95388600,362400,3212,147060,119542,2139,55.87
Left 4 Dead 2,5483760,1086960,2267,59,5215,123,24,5.05
Lethal League,4255740,39060,43414,13,431,95,0,108.95
Life Is Strange,8271480,700320,5621,41,2548,185,15,11.81
Life Is Strange: Before the Storm,9701400,814080,5050,164,4151,217,18,11.92
Lineage 2: Revolution,3758160,184740,16335,15,317,84,4,20.34
Lineage II,81173820,2744520,7753,149,2031,1820,61,29.58
Little Nightmares,3189840,274440,2996,24,1502,71,6,11.62
Lupinball,5173380,960,31580,3,6,116,0,5388.94
M.U.G.E.N,16546860,113520,598,6,68,371,2,145.76
Madden NFL 18,33709140,6928500,24148,439,18538,756,155,4.87
Mafia,2888280,64380,3024,9,197,64,1,44.86
Mafia II,2806380,114120,2951,12,393,62,2,24.59
Magic: The Gathering,180573420,2034600,19451,260,3253,4050,45,88.75
MapleStory,13853280,1176240,965,66,1687,310,26,11.78
Mario Kart 8,23384340,804240,14094,59,3032,524,18,29.08
Mario Party,3015000,39000,6679,9,148,67,0,77.31
Mario Party 3,3583500,33120,3741,13,133,80,0,108.2
Mario Party 4,3425400,36420,1675,5,158,76,0,94.05
Mass Effect 3,2877600,199080,3552,14,378,64,4,14.45
MechWarrior Online,8064540,575220,640,39,697,180,12,14.02
Mega Man 2,4263420,91740,2805,9,223,95,2,46.47
Mega Man X,2722980,103980,4210,15,385,61,2,26.19
Metal Gear Solid V: The Phantom Pain,4811880,686280,1574,36,2211,107,15,7.01
Metal Gear Survive,8616960,1324560,3091,106,2465,193,29,6.51
Metin 2,11961000,623040,2077,40,982,268,13,19.2
Metro 2033,3477720,166080,6724,17,786,78,3,20.94
Microsoft Flight Simulator X,13795260,1100520,2118,62,1265,309,24,12.54
Middle-earth: Shadow of War,15908940,317040,18900,24,1784,356,7,50.18
Minecraft,217608480,13471200,30679,596,39153,4881,302,16.15
Miscreated,2930940,396300,2397,28,896,65,8,7.4
Mister Rogers' Neighborhood,19417740,19560,10315,5,29,435,0,992.73
MLB The Show 17,3189360,231600,769,32,1490,71,5,13.77
MLB The Show 18,23535600,601500,8924,199,3965,527,13,39.13
Modern Warfare 2,4245360,442860,2561,33,2026,95,9,9.59
Monopoly Plus,3590580,69360,10490,11,529,80,1,51.77
Monster Hunter World,201746460,9366420,27282,523,43868,4525,210,21.54
Monster Rancher 2,4936860,11520,2831,3,22,110,0,428.55
Monstrum,3626280,24360,8390,4,130,81,0,148.86
Mortal Kombat X,5765520,450180,2533,29,2667,129,10,12.81
Mount & Blade: Warband,3657060,292200,2845,20,975,82,6,12.52
Mount Your Friends 3D: A Hard Man Is Good to Climb,3578820,33960,7924,12,277,80,0,105.38
Music & Performing Arts,261401280,8096100,14313,249,9143,5863,181,32.29
My Lovely Daughter,6490560,38400,28497,8,179,145,0,169.03
My Summer Car,14414760,213480,5525,16,612,323,4,67.52
My Time at Portia,3897120,230580,1820,18,680,87,5,16.9
NBA 2K18,38421000,6617340,8654,319,20468,861,148,5.81
Neverwinter,5712660,948060,263,47,1969,128,21,6.03
NHL 17,3015780,46440,716,4,177,67,1,64.94
NHL 18,7446540,491520,2507,46,3895,167,11,15.15
Ni no Kuni II: Revenant Kingdom,57513840,2437980,30369,528,6872,1290,54,23.59
NieR Automata,13249560,1280460,4840,73,5643,297,28,10.35
Nioh,12465420,913860,4352,48,2028,279,20,13.64
Northgard,15207420,422760,6156,38,1355,341,9,35.97
Octahedron,2719740,15420,2817,5,53,61,0,176.38
Odin Sphere Leifthrasir,9308340,43920,5147,5,91,208,0,211.94
One Hour One Life,7986240,103380,38148,14,208,179,2,77.25
One Piece Treasure Cruise,4879500,127380,697,13,183,109,2,38.31
Ori and the Blind Forest,3489000,369540,1557,26,1176,78,8,9.44
osu!,38133420,6205440,14877,277,22513,855,139,6.15
Outlast,10014720,616320,5386,52,4039,224,13,16.25
Outlast 2,3647580,356460,3219,44,2291,81,7,10.23
Overcooked!,2993760,65220,12181,9,627,67,1,45.9
Overgrowth,3625560,44880,12537,8,364,81,1,80.78
Overwatch,1923218880,59505120,239954,2852,135198,43140,1334,32.32
Oxygen Not Included,10898100,604140,4125,38,1178,244,13,18.04
Paladins,36306660,4348680,19175,220,14634,814,97,8.35
"Papers, Please",8734860,142800,8659,19,1020,195,3,61.17
Patapon,2723280,5580,12834,3,31,61,0,488.04
Path of Exile,523972800,13943820,59007,1813,14567,11753,312,37.58
Payday 2,3593220,842760,967,45,3679,80,18,4.26
PC Building Simulator,14338920,207240,35050,77,983,321,4,69.19
Persona 4 Golden,4955100,77340,1584,9,68,111,1,64.07
Persona 5,19064520,853680,2403,44,1626,427,19,22.33
Pinturillo 2,2786040,33600,7292,9,400,62,0,82.92
Pit People,3147000,203760,6790,32,815,70,4,15.44
PixARK,30999540,797280,37396,181,2158,695,17,38.88
Pizza Connection 3,16400640,95280,35335,65,390,367,2,172.13
Planet Coaster,2883840,238800,982,24,924,64,5,12.08
PlanetSide 2,4348380,591180,3352,45,1589,97,13,7.36
PLAYERUNKNOWN'S BATTLEGROUNDS,2826355500,120484380,325535,4278,210438,63399,2702,23.46
Point Blank,3043020,96660,1369,9,441,68,2,31.48
Pok�mon Emerald,4160700,199020,2320,19,649,93,4,20.91
Pok�mon FireRed/LeafGreen,2941560,318240,1272,21,898,65,7,9.24
Pok�mon HeartGold/SoulSilver,3025320,149520,5493,17,473,67,3,20.23
Pok�mon Platinum,4622460,95340,3968,12,334,103,2,48.48
Pok�mon Red/Blue,5133780,316440,3293,19,616,115,7,16.22
Pok�mon Stadium,2705640,26580,2973,6,102,60,0,101.79
Pok�mon Trading Card Game Online,4814460,404700,636,23,933,107,9,11.9
Pok�mon Ultra Sun/Ultra Moon,49026900,1589040,6228,81,1791,1099,35,30.85
Pok�mon Yellow: Special Pikachu Edition,3402780,84120,1028,10,188,76,1,40.45
Poker,177419820,2597940,17154,155,2567,3979,58,68.29
Poly Bridge,4897560,128760,3205,21,766,109,2,38.04
Portal 2,7321800,531600,11952,32,2765,164,11,13.77
Postal 2,5032380,32160,19829,11,208,112,0,156.48
Prime World,8804100,460380,603,28,307,197,10,19.12
Prismata,6544200,78180,11027,12,127,146,1,83.71
Prison Architect,3317700,106500,5309,10,464,74,2,31.15
Pro Evolution Soccer 2018,7435020,454320,8927,28,1399,166,10,16.37
Project CARS 2,2720820,403980,2535,41,1337,61,9,6.74
Puyo Puyo Tetris,13801560,275520,11757,27,990,309,6,50.09
Q.U.B.E. 2,7390140,76440,34785,28,329,165,1,96.68
Quake Champions,14501340,689280,2362,50,1268,325,15,21.04
Ragnarok Online,13205340,856200,1885,47,926,296,19,15.42
Ratz Instagib,3291180,7440,28441,3,57,73,0,442.36
Remothered: Tormented Fathers,7953420,79860,13316,12,334,178,1,99.59
Resident Evil,4367760,237180,1510,16,836,97,5,18.42
Resident Evil 2 (1998),3344640,164280,981,11,329,75,3,20.36
Resident Evil 3: Nemesis,3748800,127740,1246,11,267,84,2,29.35
Resident Evil 4,5146740,607200,1253,36,1778,115,13,8.48
Resident Evil 7 biohazard,11454900,930600,18621,53,4056,256,20,12.31
Resident Evil HD Remaster,7884240,139980,4473,12,440,176,3,56.32
Retro,60418200,3830160,7829,155,4307,1355,85,15.77
Retro Game Challenge,2800080,45480,234,3,34,62,1,61.57
Rift,12574080,462420,4272,58,629,282,10,27.19
RimWorld,23942280,1034640,4405,55,2027,537,23,23.14
Rise of Insanity,7370160,49740,34759,8,363,165,1,148.17
Rise of the Tomb Raider,6877980,1043160,3448,56,3927,154,23,6.59
Rising Storm 2: Vietnam,3149820,94380,2866,12,558,70,2,33.37
ROBLOX,14297460,2798880,14203,149,11613,320,62,5.11
Rock Band 4,4372140,638220,6922,42,1694,98,14,6.85
Rocket League,331840440,12309660,96377,565,53875,7443,276,26.96
Rules of Survival,11531580,1924500,5638,80,5911,258,43,5.99
RuneScape,327712560,7143660,74563,267,9889,7351,160,45.87
Russian Fishing 4,5454300,412200,578,29,261,122,9,13.23
Rust,108168180,5107020,13336,288,8995,2426,114,21.18
SCP: Secret Laboratory,10923120,221340,21188,22,1118,245,4,49.35
Sea of Thieves,934015560,32591880,255998,4908,66327,20951,731,28.66
Secret of Mana,7518720,465420,4689,42,1412,168,10,16.15
Senran Kagura: Peach Beach Splash,4174740,120060,6031,34,581,93,2,34.77
Shadow of the Colossus,8418180,527400,7067,57,2782,188,11,15.96
Shadow Tactics: Blades of the Shogun,2930460,105720,6622,14,534,65,2,27.72
Shadowverse,25932180,1013580,5913,85,1306,581,22,25.58
Sid Meier's Civilization V,10294260,604860,1484,36,1848,230,13,17.02
Sid Meier's Civilization VI,9525300,475440,8782,27,1546,213,10,20.03
Sid Meier's Civilization VI: Rise & Fall,7631640,283200,2574,20,431,171,6,26.95
Silent Hill 2,3890820,57360,3703,8,173,87,1,67.83
Silent Hill 3,2673480,39420,3834,6,104,59,0,67.82
Silent Hill 4: The Room,3495540,30000,4009,4,63,78,0,116.52
Slay the Spire,92506920,2455380,9358,113,6672,2075,55,37.68
Slime Rancher,5217180,305340,18647,25,1540,117,6,17.09
slither.io,7151160,48840,14155,9,357,160,1,146.42
Smite,118281120,7287960,12101,293,14035,2653,163,16.23
Social Eating,14955060,131820,28093,11,1459,335,2,113.45
SOMA,3296040,143460,3023,15,565,73,3,22.98
Sonic & All-Stars Racing Transformed,3387060,24120,24278,7,166,75,0,140.43
Sonic Adventure 2: Battle,6451260,164400,2981,32,442,144,3,39.24
Sonic Mania,3164640,126120,9334,14,811,70,2,25.09
SOS,19494720,848880,12903,57,1728,437,19,22.97
Soulworker,6287700,1294020,824,66,3426,141,29,4.86
South Park: The Fractured But Whole,3326040,284280,3876,25,1874,74,6,11.7
Space Engineers,3318060,418080,2053,27,932,74,9,7.94
SpeedRunners,3574800,85380,31939,13,800,80,1,41.87
Spelunky,6542040,134820,5802,12,495,146,3,48.52
Splatoon 2,20962920,2043180,4265,215,3494,470,45,10.26
SpongeBob SquarePants: Battle for Bikini Bottom,3203700,82560,590,9,163,71,1,38.8
Spore,2930760,62040,5243,10,358,65,1,47.24
Spyro the Dragon,2740020,73380,9679,15,231,61,1,37.34
Squad,2971980,591900,3761,39,1840,66,13,5.02
Star Citizen,12422940,542580,6078,53,1105,278,12,22.9
Star Wars Battlefront II,5752560,936240,3969,56,7234,129,21,6.14
Star Wars: The Old Republic,5138460,784140,918,48,1336,115,17,6.55
StarCraft,14840220,606720,11968,33,1043,332,13,24.46
StarCraft II,500208840,4691220,60745,193,7480,11220,105,106.63
Stardew Valley,22885800,2049540,5095,86,5426,513,45,11.17
Stellaris,17119980,976860,3824,86,2104,384,21,17.53
Stick Fight: The Game,4332540,132720,28920,16,1693,97,2,32.64
Street Fighter V,122761500,1767660,73042,76,4242,2753,39,69.45
Subnautica,60294660,3001680,14824,163,6945,1352,67,20.09
Summoners War: Sky Arena,42814500,1057860,5257,56,1226,960,23,40.47
Super Mario 64,23110560,885360,6316,53,1787,518,19,26.1
Super Mario All-Stars,3485760,39360,3696,16,160,78,0,88.56
Super Mario Bros.,2908320,183300,5745,29,438,65,4,15.87
Super Mario Bros. 3,15606780,159960,5078,17,489,350,3,97.57
Super Mario Maker,42446280,580920,7742,33,668,952,13,73.07
Super Mario Odyssey,35042280,966420,11716,52,2289,786,21,36.26
Super Mario RPG: Legend of the Seven Stars,5216160,107100,9010,16,276,117,2,48.7
Super Mario Sunshine,4275720,211260,2750,20,574,95,4,20.24
Super Mario World,20510640,432180,5988,30,1244,460,9,47.46
Super Metroid,10188600,347820,1392,25,554,228,7,29.29
Super Monkey Ball 2,4882800,54780,6196,9,115,109,1,89.13
Super Robot Wars X,5171460,139980,2901,63,178,116,3,36.94
Super Seducer,83116140,354540,45059,49,1716,1864,7,234.43
Super Smash Bros. Brawl,4329360,61500,8095,9,313,97,1,70.4
Super Smash Bros. for Wii U,34842540,1020240,19892,69,2000,781,22,34.15
Super Smash Bros. Melee,47169480,933000,33904,59,2457,1058,20,50.56
Surviving Mars,111267300,2045340,36527,451,4219,2495,45,54.4
Sword Art Online: Fatal Bullet,13406400,1481220,7045,142,4127,300,33,9.05
Synthetik,3538080,44580,23011,11,238,79,1,79.36
Tabletop Simulator,8312460,284640,24705,30,1400,186,6,29.2
Talk Shows & Podcasts,304889400,2653620,77922,381,9049,6839,59,114.9
Team Fortress 2,17778540,1381320,12823,78,4379,398,30,12.87
Tekken 7,89989320,1845600,45219,131,6254,2018,41,48.76
Tera,13478640,2134020,2871,272,6176,302,47,6.32
Terraria,44689920,1996980,19024,100,5404,1002,44,22.38
The Beast Inside,3077400,11580,18978,3,65,69,0,265.75
The Binding of Isaac: Afterbirth,28714560,1022400,13898,53,3017,644,22,28.09
The Council,13747320,117360,29687,39,674,308,2,117.14
The Elder Scrolls IV: Oblivion,4239900,327900,1303,23,747,95,7,12.93
The Elder Scrolls Online,23466060,2800380,64268,146,6065,526,62,8.38
The Elder Scrolls V: Skyrim,78693900,4170540,13623,165,10761,1765,93,18.87
The Elder Scrolls: Legends,65037420,810960,4134,36,793,1458,18,80.2
The Evil Within 2,4810020,355560,4676,26,1884,107,7,13.53
The Forest,13915200,1222740,9576,63,4274,312,27,11.38
The Jackbox Party Pack,2716200,51180,8091,10,462,60,1,53.07
The Jackbox Party Pack 2,5163060,83580,22789,17,680,115,1,61.77
The Jackbox Party Pack 3,14371200,495180,29680,53,2712,322,11,29.02
