Game,WatchTime,StreamTime,PeakViewers,PeakChannels,UniqueStreamers,AverageViewers,AverageChannels,AverageViewerToChannelRatio
Dark Souls II: Scholar of the First Sin,19547460,971460,5152,56,2191,438,21,20.12
Dark Souls III,58784280,4238280,10996,186,11870,1318,95,13.87
Darkest Dungeon,44885220,1266540,21226,71,3173,1006,28,35.44
Darwin Project,6094020,995100,9737,61,3358,136,22,6.12
Dauntless,12902580,874980,19635,91,2456,289,19,14.75
DayZ,30991680,1705860,7303,86,3290,695,38,18.17
Dead by Daylight,611255280,33409740,146848,1453,82430,13711,749,18.3
Dead Cells,146930940,4251600,42483,342,14910,3295,95,34.56
Deathgarden,18058380,725400,25484,101,2664,405,16,24.89
Death's Gambit,52577160,973020,36456,202,2962,1179,21,54.04
Deceit,10370220,1053480,8847,63,5190,232,23,9.84
Deiland,8187660,32520,22654,6,137,183,0,251.77
Demon's Souls,10799640,71160,2901,7,117,242,1,151.77
Destiny,3809520,905220,960,66,3621,85,20,4.21
Destiny 2,377270700,29426940,91330,1511,53602,8462,660,12.82
Detroit: Become Human,21339300,721260,7696,34,4905,478,16,29.59
Diablo II: Lord of Destruction,20500140,855000,4098,45,1060,459,19,23.98
Diablo III: Reaper of Souls,46161000,3475200,7816,153,8412,1035,77,13.28
Divinity: Original Sin II,6825960,612360,9735,74,1700,153,13,11.15
Dofus,13979100,629820,4605,44,959,313,14,22.2
Doki Doki Literature Club,4776240,344220,3225,21,1618,107,7,13.88
Domina,3535440,46680,2615,8,246,79,1,75.74
Don't Starve Together,18476520,888600,18449,42,2586,414,19,20.79
Donut County,5104440,63600,23705,49,531,114,1,80.26
Doom,12695520,1630440,4106,105,8422,284,36,7.79
Dota 2,4186586040,26366220,749471,1102,36075,93911,591,158.79
Dragon Ball FighterZ,158035980,2256900,241067,192,9580,3544,50,70.02
Dragon Quest VIII: Journey of the Cursed King,3890460,70260,891,8,104,87,1,55.37
DragonBall Z: Dokkan Battle,5904480,314280,4377,51,698,132,7,18.79
Dragon's Dogma: Dark Arisen,3419880,265980,1777,21,716,76,5,12.86
Dungeon Fighter Online,12258180,604800,7975,43,676,274,13,20.27
Dungeons & Dragons,96482220,2177580,40680,175,3468,2164,48,44.31
Dying Light,6877980,1097460,4563,69,4924,154,24,6.27
EA Sports UFC 3,19981140,143640,145154,35,2261,448,3,139.11
Elite: Dangerous,8143020,1095180,971,66,2122,182,24,7.44
Enter the Gungeon,89471460,2404380,22871,131,8182,2006,53,37.21
Errant: Hunter's Soul,5311020,69900,7223,11,54,119,1,75.98
Escape From Tarkov,405456180,12846120,51782,508,13694,9095,288,31.56
Eternal,12378060,252780,4500,22,427,277,5,48.97
Euro Truck Simulator 2,37933020,3672000,28870,217,8729,850,82,10.33
Europa Universalis IV,12878340,589920,6146,37,991,288,13,21.83
EVE Online,27616200,782760,10394,45,977,619,17,35.28
EverQuest,3263880,398040,319,26,314,73,8,8.2
F1 2018,11731620,433500,6979,111,2533,263,9,27.06
Factorio,11722560,928680,2415,52,1726,262,20,12.62
Fallout 3,7564260,373740,4122,23,1052,169,8,20.24
Fallout 4,35748420,4722540,8142,180,12141,801,105,7.57
Fallout: New Vegas,11065800,993720,8794,47,2741,248,22,11.14
Far Cry 5,6200580,979920,4592,65,7897,139,21,6.33
Farming Simulator 17,25248300,1855320,140946,105,3447,566,41,13.61
Fate Seeker,14819640,134280,10937,21,215,332,3,110.36
Fate/Grand Order,54271560,878520,19501,67,1510,1217,19,61.78
Fear the Wolves,3498480,151440,11076,37,1026,78,3,23.1
FIFA 17,11375160,197460,7186,12,1225,255,4,57.61
FIFA 18,199054500,9004560,76550,533,31646,4465,201,22.11
FIFA 19,12579000,36060,28367,11,144,282,0,348.84
FIFA Online 4,12484980,328140,6411,24,683,280,7,38.05
Final Fantasy IV,5530440,287460,984,33,347,124,6,19.24
Final Fantasy IX,5278080,367860,4914,21,732,118,8,14.35
Final Fantasy VII,17750340,557400,5422,32,1144,398,12,31.84
Final Fantasy VIII,4117560,223320,2445,16,381,92,5,18.44
Final Fantasy X/X-2 HD Remaster,6828180,805560,3640,43,1553,153,18,8.48
Final Fantasy XI Online,3703680,332700,733,24,311,83,7,11.13
FINAL FANTASY XIV Online,47095500,5312160,7477,433,8097,1056,119,8.87
Final Fantasy XV,3980880,939480,3028,52,2917,89,21,4.24
Final Fantasy: Brave Exvius,4288320,187620,859,16,296,96,4,22.86
Fire Emblem Mobile,5228100,131160,2383,35,305,117,2,39.86
Football Manager 2018,24436260,927900,4271,58,1237,548,20,26.34
"Football, Tactics & Glory",7706040,17520,6348,5,37,172,0,439.84
For Honor,59660280,4776960,25956,312,18026,1338,107,12.49
Fortnite,7886192940,490009200,687062,17450,974227,176899,10991,16.09
Forza Motorsport 7,3762960,498000,5472,37,1978,84,11,7.56
Fractured Lands,9867360,167580,11957,28,393,221,3,58.88
Friday the 13th: The Game,9202800,983340,21010,60,3943,206,22,9.36
Frostpunk,7047060,259740,8668,27,991,158,5,27.13
FTL: Faster Than Light,6716040,189180,13792,14,740,150,4,35.5
Game Development,9529320,594960,24955,33,974,213,13,16.02
Games + Demos,90820500,1550160,27100,72,4519,2037,34,58.59
Gamescom 2017,3723120,5580,6857,10,28,83,0,667.23
Garfield Lasagna World Tour,4434060,600,270381,8,11,99,0,7390.1
Garry's Mod,17830740,1544520,49905,78,6757,399,34,11.54
Gears of War 4,19192980,1896240,6421,115,4679,430,42,10.12
GeoGuessr,9336480,103020,7766,12,526,209,2,90.63
Geometry Dash,5666100,605820,3777,34,2717,127,13,9.35
Getting Over It,5444760,288240,4055,18,1737,122,6,18.89
Girls Frontline,9259500,558660,1752,68,693,207,12,16.57
God of War,22504620,3482220,5248,247,10708,504,78,6.46
Golf It!,11332380,206520,31530,20,1637,254,4,54.87
Golf With Your Friends,6607020,525480,4042,46,4127,148,11,12.57
Gran Turismo Sport,18281640,245160,8236,22,526,410,5,74.57
Granblue Fantasy,4976160,428640,415,39,1052,111,9,11.61
Grand Theft Auto IV,4398480,143700,5122,12,589,98,3,30.61
Grand Theft Auto V,916414440,27615360,60680,1214,70607,20556,619,33.18
Grand Theft Auto: San Andreas,12979980,806880,11142,41,2984,291,18,16.09
Grand Theft Auto: Vice City,6005640,170760,4363,17,609,134,3,35.17
Graveyard Keeper,224904540,3192180,48576,248,6063,5044,71,70.45
Green Hell,15020400,90000,26290,50,497,336,2,166.89
Grim Dawn,5699580,355200,1520,23,517,127,7,16.05
Guacamelee! 2,12238980,272040,13694,59,814,274,6,44.99
Guild Wars 2,23887860,2081520,4249,106,3535,535,46,11.48
Guilty Gear Xrd REV 2,25835040,166740,106301,15,642,579,3,154.94
Guitar Hero III: Legends of Rock,12536940,837360,3363,50,2971,281,18,14.97
Gwent: The Witcher Card Game,64213620,1011180,33225,51,1497,1440,22,63.5
Half-Life 2,3237420,199980,3162,16,939,72,4,16.19
Halo 5: Guardians,17425200,2018460,2216,124,5012,390,45,8.63
Halo: The Master Chief Collection,13606440,1215060,2960,112,3479,305,27,11.2
Hand Simulator,7847640,85020,16216,11,954,176,1,92.3
Hearthstone,2268642480,13986600,251577,1932,30887,50889,313,162.2
Hearts of Iron IV,13132260,561900,10189,36,1458,294,12,23.37
Heavy Rain,3440520,148320,4879,13,2049,77,3,23.2
Heroes of Might and Magic III: The Shadow of Death,27269460,405000,8158,30,435,611,9,67.33
Heroes of Newerth,10022340,398280,1294,23,631,224,8,25.16
Heroes of the Storm,340383000,7849620,61037,299,13432,7635,176,43.36
HITMAN,3411600,391500,3671,31,2440,76,8,8.71
Hitman: Blood Money,4829220,33780,4483,4,145,108,0,142.96
Hollow Knight,23381040,1787400,4865,146,4684,524,40,13.08
Horizon Zero Dawn,5704560,1112160,4220,50,3224,127,24,5.13
House Flipper,9194940,589140,2702,36,2491,206,13,15.61
Human: Fall Flat,5368620,242880,7051,23,2875,120,5,22.1
Hunt: Showdown,70670340,2952060,28348,214,7129,1585,66,23.94
I Wanna Be The Boshy,89352180,174120,22046,19,673,2004,3,513.16
I Wanna Be The Guy,4152300,223140,1682,15,302,93,5,18.61
Identity V,3721440,304440,11897,23,903,83,6,12.22
Infestation: The New Z,17955060,747900,746,34,900,402,16,24.01
Injustice 2,9013500,355020,19344,21,1981,202,7,25.39
Insurgency: Sandstorm,11653380,322440,30135,117,1645,261,7,36.14
iRacing.com,15037980,1174500,3203,217,1632,337,26,12.8
IRL,2924798220,41430420,264068,1406,132462,65607,929,70.6
IRONSIGHT,5140320,828000,1953,54,3269,115,18,6.21
Islands of Nyne: Battle Royale,8433960,988620,2777,143,3210,189,22,8.53
JoJo's Bizarre Adventure,14645700,26640,6174,10,67,328,0,549.76
Juan v Juan,4658760,2040,25197,5,16,104,0,2283.71
Jurassic World Evolution,4113660,502560,5490,39,1983,92,11,8.19
Just Dance 2018,10690920,127260,9333,13,519,239,2,84.01
Kantai Collection,3250200,310440,3115,64,351,72,6,10.47
Kartrider,11834640,361560,8136,33,857,265,8,32.73
Kenshi,5479020,106620,2570,10,152,122,2,51.39
Kerbal Space Program,10817760,473940,6130,30,1150,242,10,22.83
Kingdom Come: Deliverance,4925580,504960,2249,30,1329,110,11,9.75
Kingdom Hearts HD 1.5 + 2.5 Remix,4242360,160980,3418,27,3683,95,3,26.35
Kingdom Hearts HD I.5 + II.5 Remix,14118840,1023300,2953,58,1728,316,22,13.8
Kingdom Rush Frontiers,6205560,6360,14260,4,31,139,0,975.72
Knight Online,13103160,353940,2977,31,438,293,7,37.02
L.A. Noire,7290900,178740,12477,17,671,163,4,40.79
La-Mulana 2,10859340,624180,4179,71,557,243,14,17.4
Last Tide,21367980,197100,59571,82,1057,479,4,108.41
Layers of Fear,4528680,254520,8644,20,1853,101,5,17.79
League of Legends,4880996340,88548360,1029879,2773,144072,109488,1986,55.12
Left 4 Dead 2,10238040,1086240,6398,59,5348,229,24,9.43
Liar Princess and the Blind Prince,9285780,16980,14275,10,59,208,0,546.87
Life Is Strange,6132060,677340,1944,40,2544,137,15,9.05
Lineage II,92982960,2298480,7621,177,1794,2085,51,40.45
Lisa,4492140,40380,7293,5,153,100,0,111.25
Little Nightmares,3616080,152820,7757,13,955,81,3,23.66
Ludum Dare,4718040,184020,3253,56,228,105,4,25.64
M.U.G.E.N,18214740,108120,675,5,68,408,2,168.47
Madden NFL 19,160112280,13031460,25629,1560,32300,3591,292,12.29
Mafia,4158360,61200,4374,9,162,93,1,67.95
Mafia II,7629180,147900,6894,16,487,171,3,51.58
Mafia III,6975360,2381220,2743,178,11062,156,53,2.93
Magic: The Gathering,215536080,2724420,31242,138,4891,4834,61,79.11
MapleStory,53433060,2573640,21223,104,3309,1198,57,20.76
MapleStory 2,4394820,280620,4294,38,689,98,6,15.66
MapleStory M,12240420,490380,5924,36,728,274,11,24.96
Mario Kart 8,23281860,865380,21866,54,3170,522,19,26.9
Mario Party 3,5024040,33420,8980,5,119,112,0,150.33
Mario Party 4,3991980,22140,10755,5,124,89,0,180.31
Mario Tennis Aces,8442900,208860,8199,20,886,189,4,40.42
MechWarrior Online,6683220,461640,454,29,514,149,10,14.48
Mega Man X,13723500,227460,4744,20,798,307,5,60.33
Mega Man X Anniversary Collection,3557460,239520,2940,31,687,79,5,14.85
Metal Gear Solid,8471460,88380,8167,10,256,190,1,95.85
Metal Gear Solid 2: Sons of Liberty,3337620,52800,6339,7,127,74,1,63.21
Metal Gear Solid V: The Phantom Pain,3350640,710580,1437,41,2354,75,15,4.72
Metin 2,11188140,755940,3043,43,1204,250,16,14.8
Microsoft Flight Simulator X,13487640,1005960,1733,54,1240,302,22,13.41
Might & Magic: Elemental Guardians,6573120,156360,1874,11,173,147,3,42.04
Minecraft,320164980,18362100,44143,877,47426,7181,411,17.44
Miscreated,3695820,312180,2547,21,814,82,7,11.84
Mist Survival,18444060,314820,32268,55,1062,413,7,58.59
MLB The Show 18,8328300,428400,7183,35,2847,186,9,19.44
Mobile Legends: Bang bang,5933160,465660,8052,24,1641,133,10,12.74
Mobile Suit Gundam: Battle Operation 2,3231240,107460,1124,10,473,72,2,30.07
Modern Warfare 2,14962500,868620,21559,247,7187,335,19,17.23
Monopoly Plus,3424200,114660,19486,14,805,76,2,29.86
Monster Hunter Generations Ultimate,15260040,572400,12209,155,1323,342,12,26.66
Monster Hunter World,685818000,40351140,128595,5262,66815,15383,905,17
Mortal Kombat X,4613580,491640,2155,28,3121,103,11,9.38
Mount & Blade: Warband,5470980,376440,2512,21,1293,122,8,14.53
Mu Online,4128120,114000,1281,11,183,92,2,36.21
Music & Performing Arts,314564700,11235000,30978,335,11441,7056,252,28
My Summer Car,7317360,187020,9365,16,625,164,4,39.13
Naruto to Boruto: Shinobi Striker,12046080,516780,14073,406,2651,270,11,23.31
NBA 2K18,92450280,6628440,61960,356,20172,2073,148,13.95
NBA 2K19,6639720,150720,17799,340,1003,148,3,44.05
Neverwinter,6757080,938940,840,58,1994,151,21,7.2
NHL 17,5275680,46380,487,3,96,118,1,113.75
NieR Automata,7429920,469740,3154,28,2355,166,10,15.82
Nioh,7569060,798600,2377,41,1752,169,17,9.48
No Man's Sky,230398740,10619040,37987,850,24967,5168,238,21.7
Not Tonight,15022020,106020,27338,20,476,336,2,141.69
Observer,4219440,138240,6970,15,682,94,3,30.52
Octopath Traveler,17258460,1191480,4182,95,1986,387,26,14.48
?kami,4102560,274080,5400,21,558,92,6,14.97
Old School RuneScape,273675780,5943900,22048,215,8117,6138,133,46.04
Ori and the Blind Forest,4631100,414660,8449,33,1460,103,9,11.17
osu!,60273000,8048700,7207,289,29110,1352,180,7.49
Out of The Box,3629700,11580,4229,5,55,81,0,313.45
Outlast,11003700,757320,5977,47,4976,246,16,14.53
Outlast 2,5600400,446700,1682,30,2621,125,10,12.54
Overcooked! 2,80671140,1428060,56366,237,6713,1809,32,56.49
Overwatch,1385429700,59008920,135822,2413,137844,31077,1323,23.48
Oxygen Not Included,16430220,696960,7548,39,1344,368,15,23.57
Paladins,41325600,5898840,5977,237,20746,926,132,7.01
Paper Mario: The Thousand-Year Door,3436320,173100,1079,15,380,77,3,19.85
"Papers, Please",6216480,87960,13966,9,707,139,1,70.67
Party Panic,3627360,7260,25365,5,54,81,0,499.64
Path of Exile,175251120,5090280,66801,1616,7826,3931,114,34.43
Payday 2,4637100,1136700,8362,65,4286,104,25,4.08
Persona 5,9702960,679020,1922,49,1366,217,15,14.29
Phantom Doctrine,15259140,292260,10837,74,629,342,6,52.21
Pillars of Eternity,4747680,119700,963,10,310,106,2,39.66
Pillars of Eternity II: Deadfire,4686240,129120,8303,22,282,105,2,36.29
Pinball,3699540,73680,6220,9,122,82,1,50.21
Planet Coaster,4897500,285480,4165,20,1035,109,6,17.16
Planet of the Apes: Last Frontier,7298820,25140,29779,8,166,163,0,290.33
PlanetSide 2,3228960,469800,6065,27,1228,72,10,6.87
PLAYERUNKNOWN'S BATTLEGROUNDS,2128823640,81403860,143941,2918,137405,47752,1826,26.15
"Please, Don't Touch Anything 3D",5259540,5700,14879,3,34,117,0,922.73
Point Blank,4204800,136740,1728,13,453,94,3,30.75
Pok�mon Black/White,7047000,103620,6546,10,396,158,2,68.01
Pok�mon Crystal,7845360,156180,5371,16,370,175,3,50.23
Pok�mon Emerald,12039120,287520,6129,21,917,270,6,41.87
Pok�mon FireRed/LeafGreen,6504540,374580,10986,28,1266,145,8,17.36
Pok�mon Go,3877680,185820,2186,37,547,86,4,20.87
Pok�mon Gold/Silver,3613500,87600,4714,10,224,81,1,41.25
Pok�mon HeartGold/SoulSilver,10879560,272640,5939,19,787,244,6,39.9
Pok�mon Omega Ruby/Alpha Sapphire,3291060,86400,3819,9,261,73,1,38.09
Pok�mon Platinum,9201240,171180,10142,15,524,206,3,53.75
Pok�mon Red/Blue,6141660,227100,4913,22,694,137,5,27.04
Pok�mon Trading Card Game,7359420,39120,10717,13,141,165,0,188.12
Pok�mon Trading Card Game Online,8788140,427080,13027,29,1048,197,9,20.58
Pok�mon Ultra Sun/Ultra Moon,71558040,2310120,23879,105,3384,1605,51,30.98
Poker,243983580,2997120,24856,156,2925,5472,67,81.41
Pokk�n Tournament,5216520,74280,33926,11,229,117,1,70.23
Poly Bridge,10650540,68700,8062,13,479,238,1,155.03
Portal 2,8278740,563160,8367,34,3194,185,12,14.7
Post Scriptum: The Bloody Seventh,9933840,510660,19834,65,1348,222,11,19.45
Prime World,8251800,373560,514,20,277,185,8,22.09
Princess Connect! Re: Dive,16965120,240600,9064,29,301,380,5,70.51
Pro Evolution Soccer 2019,19478700,461280,26019,158,2091,436,10,42.23
Professor Layton vs. Phoenix Wright: Ace Attorney,5345520,1620,7600,2,5,119,0,3299.7
Programming,3782160,708840,578,37,1576,84,15,5.34
PUBG MOBILE,34753920,6372600,10022,222,14681,779,142,5.45
Puyo Puyo Tetris,8967240,367860,7202,22,942,201,8,24.38
Quake Champions,58204500,2390820,14662,136,7029,1305,53,24.34
Raft,6644940,482100,17364,37,2195,149,10,13.78
Ragnarok Online,13138620,980520,4152,91,1063,294,21,13.4
Realm of the Mad God,3783720,506220,516,32,1297,84,11,7.47
Realm Royale,88067100,4405620,119238,278,11073,1975,98,19.99
Red Dead Redemption,11625420,378240,7871,29,1017,260,8,30.74
Regular Human Basketball,6195600,3000,25841,5,34,138,0,2065.2
Rend,57494700,1219980,28195,150,1908,1289,27,47.13
Resident Evil,4627080,253140,3728,20,1201,103,5,18.28
Resident Evil 2 (1998),3831960,229080,1223,18,575,85,5,16.73
Resident Evil 3: Nemesis,6108540,134460,2878,14,359,137,3,45.43
Resident Evil 4,16940580,806460,10779,44,2541,380,18,21.01
Resident Evil 5,4493100,336000,4459,22,1582,100,7,13.37
Resident Evil 6,5291640,377580,3506,28,1356,118,8,14.01
Resident Evil 7 biohazard,18083520,1104300,8377,54,4130,405,24,16.38
Resident Evil HD Remaster,6644760,247740,3999,20,722,149,5,26.82
Resident Evil Zero,4947540,115320,3510,11,357,110,2,42.9
Retro,72085500,4166640,7597,159,4875,1616,93,17.3
RimWorld,35815680,1405080,9567,70,2468,803,31,25.49
Rise of the Tomb Raider,6761760,1112040,1655,63,3806,151,24,6.08
ROBLOX,22662900,4264500,47446,165,17731,508,95,5.31
Robocraft,4677540,113160,7375,13,379,104,2,41.34
Rocket League,233059920,14257800,58691,536,63782,5227,319,16.35
RollerCoaster Tycoon 2,3768120,60660,5302,6,186,84,1,62.12
RuneScape,27300000,2558880,5752,134,5234,612,57,10.67
Russian Fishing 4,31008720,1702620,5186,74,1486,695,38,18.21
Rust,114775800,5395140,24740,344,9678,2574,121,21.27
Scrabble,4979940,5760,6769,4,26,111,0,864.57
SCUM,438686820,5343300,217830,2803,17061,9840,119,82.1
Sea of Thieves,66427020,5143200,28368,529,11118,1490,115,12.92
Shadowverse,34785780,1100340,17717,74,1324,780,24,31.61
Shenmue,21296100,623760,25645,133,2089,477,13,34.14
Shenmue I & II,22474980,385560,10227,97,889,504,8,58.29
Sid Meier's Civilization V,10760160,575580,3038,38,1636,241,12,18.69
Sid Meier's Civilization VI,3274020,253620,3123,16,978,73,5,12.91
skribbl.io,6319320,224940,8277,22,2408,141,5,28.09
Slay the Spire,69463320,1067940,12648,56,3529,1558,23,65.04
Slime Rancher,3668400,357240,6027,68,1832,82,8,10.27
Smite,106165800,7088400,15783,321,15276,2381,159,14.98
Social Eating,15859440,138060,16866,13,1542,355,3,114.87
SOMA,6404220,202740,8845,14,780,143,4,31.59
Sonic Adventure 2: Battle,3705240,188760,1621,17,445,83,4,19.63
Soulcalibur VI,8669820,6420,23316,7,30,194,0,1350.44
South Park: The Fractured But Whole,4118880,255360,3169,24,1682,92,5,16.13
Space Engineers,9834180,558780,9940,39,1073,220,12,17.6
SpeedRunners,3179100,83580,11799,9,781,71,1,38.04
Splatoon 2,21037560,1955580,2144,170,3367,471,43,10.76
Star Citizen,12587880,624540,3448,38,1114,282,14,20.16
Star Wars Battlefront II,5110620,735120,507,38,5664,114,16,6.95
Star Wars: The Old Republic,6429420,856500,479,47,1358,144,19,7.51
StarCraft,63637980,723840,56781,31,1164,1427,16,87.92
StarCraft II,321117780,4135080,50931,142,6797,7203,92,77.66
Stardew Valley,31172880,3577620,3914,168,10264,699,80,8.71
State of Mind,8935860,72600,17823,25,245,200,1,123.08
Strange Brigade,16767120,277380,27741,115,1067,376,6,60.45
Street Fighter V,313586820,2530380,194902,195,5754,7034,56,123.93
Subnautica,12775680,996120,5461,49,2741,286,22,12.83
Subsistence,5413620,61320,30306,8,147,121,1,88.28
Summoners War: Sky Arena,43106400,949260,3399,46,1018,966,21,45.41
Super Mario 64,26962200,953280,6518,45,1682,604,21,28.28
Super Mario Bros. 3,3312120,116220,1660,22,427,74,2,28.5
Super Mario Maker,55560960,671460,4968,36,749,1246,15,82.75
Super Mario Odyssey,14618160,589320,7183,32,1312,327,13,24.81
Super Mario Sunshine,5042040,192060,4225,18,546,113,4,26.25
Super Mario World,24791580,499620,7421,37,1220,556,11,49.62
Super Meat Boy,8395260,74940,10261,8,594,188,1,112.03
Super Metroid,9019740,413220,3535,29,672,202,9,21.83
Super Smash Bros.,4183320,64260,22230,38,360,93,1,65.1
Super Smash Bros. for Wii U,69301980,1084200,47374,188,2354,1554,24,63.92
Super Smash Bros. Melee,129663180,930600,179128,54,2580,2908,20,139.33
surviv.io,3493560,411420,1106,29,1223,78,9,8.49
Tabletop Simulator,13612140,355140,18848,27,1680,305,7,38.33
Talk Shows & Podcasts,312853680,2998680,346483,198,8595,7017,67,104.33
Team Fortress 2,19535760,1604700,12976,80,5107,438,35,12.17
Tekken 7,130649940,2235900,178753,84,7845,2930,50,58.43
Tera,5822040,1113900,1145,53,2833,130,24,5.23
Terraria,77811180,2145720,7349,95,6091,1745,48,36.26
The Awesome Adventures of Captain Spirit,3745080,120120,7299,13,1221,84,2,31.18
The Binding of Isaac: Afterbirth,29244420,973920,13935,52,3249,655,21,30.03
The Crew 2,3273000,440280,11140,34,3276,73,9,7.43
The Elder Scrolls Online,84247080,4481760,12138,189,8121,1889,100,18.8
The Elder Scrolls V: Skyrim,49257960,4154580,11072,154,10780,1104,93,11.86
The Elder Scrolls: Legends,79477260,958080,44757,39,961,1782,21,82.95
The Evil Within,5063160,457200,2303,30,1532,113,10,11.07
The Evil Within 2,9424020,337680,5644,25,1608,211,7,27.91
The Forest,16972620,1619040,25093,82,5779,380,36,10.48
The Jackbox Party Pack 3,13020960,702840,21366,74,3681,292,15,18.53
The Jackbox Party Pack 4,7692000,479040,10934,43,2321,172,10,16.06
The Last of Us,20820600,1317480,5414,65,1401,467,29,15.8
The Legend of Zelda,3818160,214620,959,27,379,85,4,17.79
