Game,WatchTime,StreamTime,PeakViewers,PeakChannels,UniqueStreamers,AverageViewers,AverageChannels,AverageViewerToChannelRatio
Danganronpa: Trigger Happy Havoc,5537880,165720,7759,16,357,124,3,33.42
Dark Souls,57340380,2061360,9787,104,4874,1286,46,27.82
Dark Souls II,4124700,339960,1080,21,913,92,7,12.13
Dark Souls II: Scholar of the First Sin,17621940,1398900,4911,66,3342,395,31,12.6
Dark Souls III,144337080,7580580,202405,302,20584,3237,170,19.04
Darkest Dungeon,23261580,1174620,7932,51,2935,521,26,19.8
Darkwood,7599540,167100,4721,20,612,170,3,45.48
Darwin Project,24680040,474600,39601,202,2497,553,10,52
Dauntless,7340760,590880,3331,32,1511,164,13,12.42
DayZ,43440660,1764180,36056,103,3044,974,39,24.62
Dead by Daylight,284257500,13953360,41918,885,23369,6376,312,20.37
Dead Cells,14449260,659280,5699,37,2842,324,14,21.92
Deadly Towers,9231180,360,103326,9,11,207,0,25642.17
Deceit,30516300,1377300,24255,78,6408,684,30,22.16
Demon's Souls,8506320,151620,5784,12,270,190,3,56.1
Desert Bus,4977600,8100,8491,4,34,111,0,614.52
Destiny,8187240,1639800,2754,98,6354,183,36,4.99
Destiny 2,118975560,15844740,15396,798,34091,2668,355,7.51
Diablo,15382500,91320,163460,10,162,345,2,168.45
Diablo II: Lord of Destruction,20246520,856680,2927,40,1002,454,19,23.63
Diablo III: Reaper of Souls,35362800,3702840,21395,159,9100,793,83,9.55
Digimon Story: Cyber Sleuth Hacker's Memory,13054740,338340,7036,77,1172,292,7,38.58
Dishonored,13501680,183720,148979,21,906,302,4,73.49
Disney's Aladdin,7075020,18840,109214,6,74,158,0,375.53
Disney's Toy Story,5866320,3300,101033,6,14,131,0,1777.67
Dissidia: Final Fantasy,11263380,635940,9490,102,2220,252,14,17.71
Divinity: Original Sin II,10653540,1489680,4751,76,3300,238,33,7.15
Dofus,7105200,497220,754,34,749,159,11,14.29
Dog's Life,6851280,3060,114256,8,19,153,0,2238.98
Doki Doki Literature Club,86772720,2343300,28595,129,9388,1946,52,37.03
Domina,9085020,63420,11836,8,335,203,1,143.25
Donkey Kong Country,19752300,78240,150151,12,405,443,1,252.46
Donkey Kong Country 2: Diddy's Kong Quest,13089480,99420,137177,13,255,293,2,131.66
Don't Starve Together,21542940,1264560,21872,66,4055,483,28,17.04
Dota 2,1855286040,24594480,182289,909,34045,41617,551,75.44
Dragon Age: Origins,5204100,263340,3308,21,584,116,5,19.76
Dragon Ball FighterZ,252120180,6096480,50130,1894,23980,5655,136,41.36
Dragon Warrior,10394340,17340,139493,11,46,233,0,599.44
Duke Nukem 3D,6570720,17220,138284,13,80,147,0,381.57
Dungeons & Dragons,92743440,1828140,96446,156,2722,2080,41,50.73
Durango: Wild Lands,8773860,315900,5650,68,632,196,7,27.77
DYE,4428840,10560,96769,11,40,99,0,419.4
Dying Light,24264660,1157280,134887,61,5033,544,25,20.97
Dying Reborn,4581180,15240,9524,4,87,102,0,300.6
Dynamite Headdy,8133420,6780,102086,10,29,182,0,1199.62
EA Sports UFC 2,7890480,480060,30543,27,2375,176,10,16.44
EA Sports UFC 3,5065680,88620,12068,31,745,113,1,57.16
Earnest Evans,5648640,420,94096,4,5,126,0,13449.14
El Matador,4377540,1260,99238,9,13,98,0,3474.24
Elite: Dangerous,16950120,2131320,1321,106,3805,380,47,7.95
Emily Wants to Play Too,4102620,24060,6669,4,129,92,0,170.52
Enter the Gungeon,6285360,512400,2952,26,2333,140,11,12.27
Environmental Station Alpha,8149440,8160,82064,10,21,182,0,998.71
Escape From Tarkov,449167140,13606920,58348,557,16618,10075,305,33.01
Eternal,11223060,288120,12567,19,444,251,6,38.95
Euro Truck Simulator 2,35345880,3825000,8591,232,9031,792,85,9.24
Europa Universalis IV,14879340,629760,3923,39,915,333,14,23.63
EVE Online,25557420,684600,19345,51,1022,573,15,37.33
Fable,6037560,9060,8626,4,40,135,0,666.4
Fable Anniversary,11471040,116700,11960,12,439,257,2,98.3
Factorio,14361780,1102800,3741,58,2212,322,24,13.02
Fallout 3,6099000,324060,7055,23,767,136,7,18.82
Fallout 4,23008680,4237560,3275,166,10769,516,95,5.43
Fallout: New Vegas,4625400,663240,1356,43,1892,103,14,6.97
Farmer's Dynasty,14042460,81960,24478,9,179,314,1,171.33
Farming Simulator 17,12639120,1948500,1616,105,3251,283,43,6.49
Fate/Grand Order,16053540,634740,4772,45,954,360,14,25.29
FIFA 18,615387720,11816520,143683,959,37800,13804,265,52.08
Final Fantasy IV,25352340,86700,178777,15,214,568,1,292.41
Final Fantasy IX,4725060,488100,1232,28,945,105,10,9.68
Final Fantasy VII,12011760,593820,5867,33,1227,269,13,20.23
Final Fantasy X,6000840,142860,4604,20,307,134,3,42.01
Final Fantasy X/X-2 HD Remaster,4788660,829320,1353,41,1573,107,18,5.77
FINAL FANTASY XIV Online,54752160,5331540,19638,637,7924,1228,119,10.27
Final Fantasy XV,6612840,1406520,1674,70,4093,148,31,4.7
Final Fantasy: Brave Exvius,3828240,170340,819,17,236,85,3,22.47
Finding Paradise,5076900,76560,4578,16,294,113,1,66.31
Fire Emblem Mobile,4251960,120600,2173,26,256,95,2,35.26
Fire Emblem: The Sacred Stones,14046360,45600,132578,11,134,315,1,308.03
Football Manager 2018,48183060,653940,7972,44,840,1080,14,73.68
For Honor,12540900,1519320,3628,72,5135,281,34,8.25
For the King,4334640,156480,30372,20,494,97,3,27.7
Fortnite,2756199960,141790860,196517,6418,302468,61825,3180,19.44
Forza Horizon 3,3983400,785820,4607,43,3769,89,17,5.07
Freshly-Picked: Tingle's Rosy Rupeeland,4530300,3600,6606,2,15,101,0,1258.42
Friday the 13th: The Game,13949280,1923240,15096,153,6680,312,43,7.25
FTL: Faster Than Light,7269000,247860,2932,16,945,163,5,29.33
Full Metal Furies,3956040,69420,30033,16,278,88,1,56.99
F-Zero GX,18824340,7620,161002,9,45,422,0,2470.39
Games + Demos,50389080,994920,24231,43,3013,1130,22,50.65
Gang Beasts,15525000,454080,36118,39,4007,348,10,34.19
Gargoyles,4264920,780,104964,9,10,95,0,5467.85
Garry's Mod,16043160,1209900,24710,77,5750,359,27,13.26
Gears of War 4,41245440,1718040,23089,104,4240,925,38,24.01
GeoGuessr,5998200,45540,23114,6,286,134,1,131.71
Geometry Dash,4502280,681360,12828,42,2632,100,15,6.61
Getting Over It,51521340,1808700,46537,110,12409,1155,40,28.49
Gex 3: Deep Cover Gecko,12139560,1440,102945,7,12,272,0,8430.25
Gintama: Project Last Game (working title),4666080,32400,4800,19,73,104,0,144.01
Girls Frontline,7352580,356520,1794,42,350,164,7,20.62
Gold Rush: The Game,7084920,260640,9905,24,533,158,5,27.18
Golf It!,17955360,215940,36037,22,1696,402,4,83.15
Golf With Your Friends,11298000,626700,46427,57,4702,253,14,18.03
Gran Turismo Sport,4960680,282900,3615,19,661,111,6,17.54
Grand Theft Auto IV,19831140,159960,13597,13,631,444,3,123.98
Grand Theft Auto V,776212560,23048520,59852,1045,58405,17411,517,33.68
Grand Theft Auto: San Andreas,17046720,874320,3376,49,2802,382,19,19.5
Grand Theft Auto: Vice City,5178840,166980,4004,16,557,116,3,31.01
Guerrilla War,6390540,540,107786,8,10,143,0,11834.33
Guild Wars 2,20276820,1936140,1376,87,3239,454,43,10.47
Guilty Gear Xrd REV 2,15559440,161100,33340,16,717,349,3,96.58
Guitar Hero III: Legends of Rock,8822940,517740,1329,36,1813,197,11,17.04
Gwent: The Witcher Card Game,124145100,1601520,33000,81,2518,2784,35,77.52
HackyZack,5435820,1080,88955,7,11,121,0,5033.17
Half-Life: Opposing Force,7550400,11760,140465,10,60,169,0,642.04
Halo 5: Guardians,31635720,1986420,128338,109,4636,709,44,15.93
Hand of Fate 2,4689780,117960,13810,13,415,105,2,39.76
Hand Simulator,16441920,390660,45734,47,3838,368,8,42.09
Hearthstone,2103964140,14442660,286606,487,31766,47195,323,145.68
Hearts of Iron IV,5739540,409080,3566,32,1103,128,9,14.03
Hellblade,4530780,324000,2826,26,1807,101,7,13.98
Heroes of Might and Magic III: The Shadow of Death,26845740,439380,4138,30,530,602,9,61.1
Heroes of Newerth,10532760,469740,2401,26,641,236,10,22.42
Heroes of the Storm,346434060,9138360,33498,317,15462,7771,204,37.91
Holdfast: Nations At War,4973400,100860,9170,13,509,111,2,49.31
Hollow Knight,19163040,1201860,177178,58,3118,429,26,15.94
Home Alone 2: Lost in New York,9200400,1740,102755,8,12,206,0,5287.59
Horizon Zero Dawn,11566740,2139300,4651,102,6280,259,47,5.41
Human: Fall Flat,49311900,1131300,61698,84,6971,1106,25,43.59
Hunt: Showdown,94022100,53520,135761,105,254,2109,1,1756.77
Hyper Light Drifter,7865340,89700,103365,12,480,176,2,87.68
I Wanna Be The Boshy,13324920,47100,156709,13,243,298,1,282.91
I Wanna Be The Guy,6845220,216060,10978,15,292,153,4,31.68
Iconoclasts,5227320,226740,5539,65,742,117,5,23.05
Independence Day,4953060,780,13093,1,3,111,0,6350.08
inFamous: First Light,9257760,3900,140776,9,93,207,0,2373.78
Infestation: The New Z,3811740,630180,1372,35,1051,85,14,6.05
Injustice 2,11390520,667080,11111,52,2869,255,14,17.08
iRacing.com,10684140,1071360,1861,224,1309,239,24,9.97
IRL,1871001060,25965660,230845,1019,75863,41969,582,72.06
Jak and Daxter: The Precursor Legacy,7740420,37980,109561,10,351,173,0,203.8
Just Dance 2018,17014980,77700,10072,14,397,381,1,218.98
Kamiko,9154140,4860,97186,10,26,205,0,1883.57
Kartrider,7540020,201900,3866,24,550,169,4,37.35
Kerbal Space Program,8238000,493620,5257,29,1303,184,11,16.69
Kid Icarus,6177360,2220,101107,8,16,138,0,2782.59
Killing Floor 2,5448720,1049520,13321,56,4770,122,23,5.19
Kingdom Hearts HD I.5 + II.5 Remix,9841500,746700,3455,42,1417,220,16,13.18
Kingdom Hearts: Birth by Sleep,7311240,23880,130332,10,85,164,0,306.17
Kirby: Canvas Curse,13242120,1080,113066,9,11,297,0,12261.22
Knight Online,6151980,218940,3309,17,253,137,4,28.1
L.A. Noire,7918860,399360,12031,25,1326,177,8,19.83
League of Legends,5341493760,106478880,435859,4809,165074,119818,2388,50.16
Left 4 Dead 2,23369040,1241760,145489,66,6126,524,27,18.82
Legion TD 2,10649280,260520,23119,22,531,238,5,40.88
Life is Feudal: MMO,18892860,771120,4627,45,945,423,17,24.5
Life Is Strange,14623440,752340,5239,45,2747,328,16,19.44
Life Is Strange: Before the Storm,13736280,811560,4399,56,2935,308,18,16.93
Lineage 2: Revolution,11973600,578460,25597,39,630,268,12,20.7
Lineage II,51649800,2566620,4542,179,1890,1158,57,20.12
Lineage M,15081840,338880,6772,25,241,338,7,44.5
Little Nemo: The Dream Master,6059100,2280,99202,7,11,135,0,2657.5
Little Nightmares,3953280,291000,5441,27,1670,88,6,13.59
LittleBigPlanet 2,14416860,4380,121102,8,19,323,0,3291.52
Lobotomy Corporation | Monster Management Simulation,3993360,74220,8795,13,184,89,1,53.8
Lost Castle,5273460,67080,43674,14,311,118,1,78.61
M.U.G.E.N,14237820,99780,707,6,51,319,2,142.69
Mabinogi,4107000,350940,6669,37,439,92,7,11.7
Madden NFL 18,41027220,9145320,7490,582,24246,920,205,4.49
Magic: The Gathering,121796640,1283940,16344,76,1582,2732,28,94.86
Magical Pop'n,7564140,5160,94463,8,29,169,0,1465.92
MapleStory,20060520,1483380,8896,62,2053,449,33,13.52
Mario & Luigi: Superstar Saga,17524500,20400,152732,10,77,393,0,859.04
Mario Kart 8,24423780,821520,36035,58,2897,547,18,29.73
Mario Party 4,4368600,35340,1650,7,129,97,0,123.62
Mario Party 6,6667200,24000,9964,5,115,149,0,277.8
Marvel vs. Capcom Infinite,12802560,150120,10539,15,1028,287,3,85.28
Mass Effect,14432760,240300,124983,22,622,323,5,60.06
Mass Effect 3,5544960,185580,3211,14,345,124,4,29.88
MechWarrior Online,7617300,553440,879,32,704,170,12,13.76
Mega Man,4817520,76020,10956,11,258,108,1,63.37
Mega Man 3,12351600,22500,144933,7,104,277,0,548.96
Mega Man X,11505840,143400,147745,18,472,258,3,80.24
Mega Man X4,11406480,49380,137316,8,148,255,1,230.99
Mega Man Zero 3,14885520,4380,144947,9,23,333,0,3398.52
Metal Gear Solid,14006880,90960,149896,11,262,314,2,153.99
Metal Gear Solid 2: Sons of Liberty,4882320,60240,1919,9,123,109,1,81.05
Metal Gear Solid 3: Snake Eater,17984820,59400,146322,11,140,403,1,302.77
Metal Gear Solid V: The Phantom Pain,7592760,915300,1540,40,2848,170,20,8.3
Metal Gear Survive,9367800,185220,13251,68,1173,210,4,50.58
Metin 2,7493520,479520,867,33,917,168,10,15.63
Metroid,8936040,17340,153659,13,55,200,0,515.34
Metroid Prime 3: Corruption,28632360,8160,135785,13,24,642,0,3508.87
Microsoft Flight Simulator X,14757660,969960,7589,64,1248,331,21,15.21
Middle-earth: Shadow of War,3982380,559260,2320,32,2601,89,12,7.12
Minecraft,239923440,15447120,34987,681,42756,5381,346,15.53
Miscreated,5635800,525540,2795,28,1422,126,11,10.72
Mitsume ga Tooru,7706280,1680,99185,11,15,172,0,4587.07
Monopoly Plus,14540040,105360,34422,13,695,326,2,138
Monster Hunter Generations Ultimate,4810260,228600,3329,15,240,107,5,21.04
Monster Hunter World,740393160,13561920,169921,2525,56100,16608,304,54.59
Moonlight Blade,3849600,179940,11187,57,262,86,4,21.39
Mortal Kombat X,5295840,416100,12644,24,2497,118,9,12.73
Music & Performing Arts,220929240,6187080,16982,196,7804,4955,138,35.71
My Summer Car,5196780,197520,8788,15,555,116,4,26.31
My Time at Portia,9192960,423660,3824,69,1164,206,9,21.7
Naruto Shippuden: Ultimate Ninja Storm 4,5227860,341760,28766,24,2221,117,7,15.3
NBA 2K18,76640220,10958640,14046,671,25498,1719,245,6.99
NBA G League,4865220,10140,4522,6,32,109,0,479.8
Neverwinter,5054100,882960,875,44,1765,113,19,5.72
NHL 18,5851200,441780,1536,30,2808,131,9,13.24
NieR Automata,20689080,863220,5556,42,3872,464,19,23.97
Ninja Gaiden Black,13752240,52200,4919,6,143,308,1,263.45
Nioh,16565400,1707060,4958,77,3620,371,38,9.7
Northgard,7906980,432000,28287,43,1454,177,9,18.3
?kami,5758080,822840,1209,56,2069,129,18,7
One Piece Treasure Cruise,4935060,118800,493,11,141,110,2,41.54
Onward,3946140,148440,26559,14,551,88,3,26.58
Ori and the Blind Forest,16964400,413580,127380,27,1499,380,9,41.02
osu!,33757500,5763540,5111,236,21515,757,129,5.86
Outbreak: The New Nightmare,4096380,4620,33888,2,29,91,0,886.66
Outlast,6379740,622680,10927,44,4036,143,13,10.25
Overcooked!,4069380,73860,14826,10,736,91,1,55.1
Overwatch,1957253460,67086180,461851,2940,142342,43904,1504,29.18
Owlboy,17699940,56100,124483,11,298,397,1,315.51
Oxygen Not Included,9857640,626700,5952,36,1512,221,14,15.73
Pac-Man World 2,12408120,9720,107075,9,32,278,0,1276.56
Paladins,83554140,4646520,43978,214,15172,1874,104,17.98
"Papers, Please",6109080,105180,19830,16,847,137,2,58.08
Paragon,18009660,2384220,3523,109,4467,403,53,7.55
Path of Exile,251679720,8680800,20854,341,10756,5645,194,28.99
Persona 5,72670560,1030140,16655,54,2132,1630,23,70.54
Planet Coaster,4699680,461760,3148,33,1764,105,10,10.18
PLAYERUNKNOWN'S BATTLEGROUNDS,3227634540,144327720,192427,5100,252217,72400,3237,22.36
Point Blank,5601300,89520,1850,10,374,125,2,62.57
Pok�mon Black/White Version 2,43122360,37200,158081,15,168,967,0,1159.2
Pok�mon Gold/Silver,4066500,77760,1530,9,224,91,1,52.3
Pok�mon HeartGold/SoulSilver,4619160,136620,4377,12,400,103,3,33.81
Pok�mon Red/Blue,5189580,312060,1195,19,544,116,7,16.63
Pok�mon Ultra Sun/Ultra Moon,59076900,1878780,5181,83,1887,1325,42,31.44
Poker,249793140,2389500,46473,157,2606,5603,53,104.54
Poly Bridge,5052120,81000,9524,10,546,113,1,62.37
Pop'n TwinBee: Rainbow Bell Adventures,4299600,720,91835,9,10,96,0,5971.67
Portal 2,12339600,671100,15920,45,3564,276,15,18.39
Prey,9930840,494280,130067,28,1556,222,11,20.09
Prime World,10349280,375900,968,23,276,232,8,27.53
"Prinny 2: Dawn of Operation Panties, Dood!",7040760,1740,92453,9,12,157,0,4046.41
Pro Evolution Soccer 2018,4938960,447240,4794,27,1304,110,10,11.04
Quake Champions,11407080,691500,1419,41,1249,255,15,16.5
Quantum Conundrum,6661080,15240,108886,9,43,149,0,437.08
Quiplash,4195920,152340,11468,29,1130,94,3,27.54
Ragnarok Online,7586580,635340,1284,35,769,170,14,11.94
Rapid Reload,6333540,780,88656,12,12,142,0,8119.92
Ratchet & Clank,8121780,42000,173332,11,452,182,0,193.38
Rayman,15751500,13380,110789,13,46,353,0,1177.24
Resident Evil 2 (1998),5230800,150780,4365,21,377,117,3,34.69
Resident Evil 3: Nemesis,12163980,86940,125375,10,259,272,1,139.91
Resident Evil 4,13786980,670500,2508,39,2048,309,15,20.56
Resident Evil 7 biohazard,44891580,1485480,156910,83,6355,1006,33,30.22
Retro,50328120,3345000,5281,132,3972,1128,75,15.05
Rex Ronan: Experimental Surgeon,5916600,660,99502,7,9,132,0,8964.55
RimWorld,33028560,1388700,7139,61,2475,740,31,23.78
Rise of the Tomb Raider,4870440,700740,1277,44,2426,109,15,6.95
Ristar,4116900,6300,104006,9,25,92,0,653.48
Rivals of Aether,5834160,125520,25298,14,540,130,2,46.48
ROBLOX,9519900,2190000,13145,118,8838,213,49,4.35
Rocket League,151019760,11966760,79487,479,47379,3387,268,12.62
RPG Maker,6969540,65880,2510,9,222,156,1,105.79
Rules of Survival,12794820,1422240,19127,66,3939,287,31,9
RuneScape,280834800,7256940,32178,273,10193,6299,162,38.7
Rust,111117660,5644320,16103,315,10712,2492,126,19.69
Rusty Lake Paradise,15438180,89280,12456,18,392,346,2,172.92
SCP Containment Breach,8555280,51000,12425,8,377,191,1,167.75
SCP: Secret Laboratory,4724220,117180,20151,19,779,105,2,40.32
Sea of Thieves,868494840,4784160,261898,900,11327,19481,107,181.54
Secret of Evermore,14747820,33720,117085,11,51,330,0,437.36
Serious Sam 3: BFE,6508260,34800,101191,11,173,145,0,187.02
Shadow of the Colossus,8109480,41400,19073,13,177,181,0,195.88
Shadowverse,40750860,1341600,15255,69,1726,914,30,30.37
ShellShock Live,5522700,185400,28669,18,1146,123,4,29.79
Sid Meier's Civilization V,10049460,681540,4632,38,2056,225,15,14.75
Sid Meier's Civilization VI,17141400,995100,4653,51,2806,384,22,17.23
Silent Hill,11330700,47340,120662,8,166,254,1,239.35
Slay the Spire,358783020,3736140,46147,213,7848,8048,83,96.03
Smite,249496140,7473000,94811,317,15013,5596,167,33.39
Social Eating,14279280,123240,21761,14,1428,320,2,115.87
Sonic Advance 3,21373080,2460,148483,12,19,479,0,8688.24
Sonic Adventure 2: Battle,11053260,130200,157705,13,417,247,2,84.89
Sonic Mania,13702200,148020,158183,18,1075,307,3,92.57
SOS,53351280,844980,146313,200,2082,1196,18,63.14
South Park: The Fractured But Whole,18257520,497160,26053,37,2315,409,11,36.72
Spelunky,7080120,166320,108270,14,664,158,3,42.57
Spider-Man 3: Invasion of the Spider-Slayers,3974160,660,99787,7,8,89,0,6021.45
Splatoon 2,44443920,1653840,171642,186,2910,996,37,26.87
Star Citizen,15463200,853020,5674,50,1709,346,19,18.13
Star Fox 2,11848260,3540,116245,14,34,265,0,3346.97
Star Wars Battlefront II,17189160,1911780,2582,99,12108,385,42,8.99
Star Wars: Jedi Knight - Jedi Academy,9880260,86820,153791,13,354,221,1,113.8
Star Wars: The Old Republic,7054740,1194780,534,56,2070,158,26,5.9
Starbound,6040920,340200,19160,21,1157,135,7,17.76
StarCraft,11522460,708480,4920,32,1018,258,15,16.26
StarCraft II,250170000,4124340,52008,160,7085,5611,92,60.66
Stardew Valley,28480500,2595000,4340,111,6746,638,58,10.98
Stationeers,8708940,262740,7927,15,367,195,5,33.15
Staxel,4911180,274200,5727,69,1164,110,6,17.91
Stellaris,9165660,616140,4909,38,1440,205,13,14.88
Street Fighter III: 3rd Strike,20016900,63660,25433,11,203,449,1,314.43
Street Fighter V,160912620,2851200,51806,336,7322,3609,63,56.44
Strider,8915520,53460,144036,16,206,199,1,166.77
Subnautica,298948740,5750700,60950,548,13074,6705,128,51.98
Sub-Terrania,7392240,1020,100244,8,9,165,0,7247.29
Summoners War: Sky Arena,46541340,1194360,3734,72,1348,1043,26,38.97
Super Mario 3D World,22656780,44760,155659,10,167,508,1,506.18
Super Mario 64,17117220,836460,9278,49,1769,383,18,20.46
Super Mario Bros. 3,3978780,92100,2494,16,347,89,2,43.2
Super Mario Galaxy,21548820,101160,138156,13,194,483,2,213.02
Super Mario Land 2: 6 Golden Coins,7424880,20700,116805,9,91,166,0,358.69
Super Mario Maker,40769640,571080,5596,34,654,914,12,71.39
Super Mario Odyssey,75286380,1647900,73852,87,3488,1688,36,45.69
Super Mario Sunshine,37802280,214320,149675,22,564,847,4,176.38
Super Mario World,39615480,380280,201386,29,1169,888,8,104.17
Super Mario World 2: Yoshi's Island,20530620,71580,145421,12,251,460,1,286.82
Super Metroid,11839800,276900,6846,23,494,265,6,42.76
Super Monkey Ball,14481000,18660,148741,11,65,324,0,776.05
Super Punch-Out!!,17088660,6600,147152,4,50,383,0,2589.19
Super Smash Bros.,6271560,55860,24837,8,209,140,1,112.27
Super Smash Bros. for Wii U,44661420,903180,38256,69,1777,1001,20,49.45
Super Smash Bros. Melee,78350400,820560,79584,56,2386,1757,18,95.48
Super Star Wars: Return of the Jedi,10211520,1740,22625,3,9,229,0,5868.69
Superman,15835320,2760,132672,9,15,355,0,5737.43
System Shock 2,7362120,22260,6502,4,65,165,0,330.73
Tabletop Simulator,15693720,390840,29866,31,1947,352,8,40.15
Taiker,5367960,1140,96021,9,12,120,0,4708.74
Talk Shows & Podcasts,260211000,2699280,51352,151,8894,5836,60,96.4
Team Fortress 2,11320620,1284600,3918,75,3950,253,28,8.81
Teenage Mutant Ninja Turtles,5393400,16320,120663,8,49,120,0,330.48
Teenage Mutant Ninja Turtles: The HyperStone Heist,12789840,1380,133126,9,18,286,0,9268
Tekken 7,45377520,1742280,43020,71,6371,1017,39,26.04
Tekken Tag Tournament,5011920,5580,3728,2,11,112,0,898.19
Tera,5948700,1008000,1115,59,2081,133,22,5.9
Terraria,21597960,1745040,7084,73,5248,484,39,12.38
The Addams Family,7166700,2160,97685,8,13,160,0,3317.92
The Binding of Isaac: Afterbirth,42408000,1140360,12201,63,3684,951,25,37.19
The Blues Brothers,5920560,360,98676,6,5,132,0,16446
The Dummy Experiment,7075860,21120,16186,20,169,158,0,335.03
The Elder Scrolls IV: Oblivion,42075240,318480,13171,19,773,943,7,132.11
The Elder Scrolls Online,25269060,2744340,19025,112,5743,566,61,9.21
