Game,WatchTime,StreamTime,PeakViewers,PeakChannels,UniqueStreamers,AverageViewers,AverageChannels,AverageViewerToChannelRatio
BlazBlue Cross Tag Battle,3567900,231840,5526,20,809,82,5,15.39
Blood Bowl 2,4800300,271440,659,22,463,111,6,17.68
Bloodborne,29653500,1829220,3471,98,5451,687,42,16.21
Board Games,8709900,184800,6853,40,408,201,4,47.13
Board Games Live,4498560,43980,4340,12,114,104,1,102.29
Borderlands,2791200,202320,929,15,657,64,4,13.8
Borderlands 2,13015680,1463460,1698,91,4630,301,33,8.89
Brawl Stars,3223080,106800,1721,15,354,74,2,30.18
Brawlhalla,13553760,1787580,29332,100,10223,314,41,7.58
Business Tour,3057780,147540,20759,21,1453,70,3,20.73
Call of Cthulhu - The Video Game,33363300,1250280,27086,420,4089,773,28,26.68
Call of Duty: Black Ops 4,1822945680,72844500,179723,4249,254921,42256,1688,25.03
Call of Duty: Black Ops III,5894160,2397660,437,136,14693,136,55,2.46
Call of Duty: WWII,2989260,586920,638,38,7261,69,13,5.09
Capcom Beat 'Em Up Bundle,4644420,25020,9585,6,125,107,0,185.63
Casino,1107523800,3438840,77569,152,2604,25672,79,322.06
Casino!,13046040,36060,1204,3,27,302,0,361.79
Celeste,12128820,359100,7172,25,1087,281,8,33.78
Chess,287365740,952620,135778,55,1315,6661,22,301.66
Chrono Trigger,3655740,166920,3648,13,399,84,3,21.9
Circle Empires,2990400,8520,7964,3,38,69,0,350.99
Cities: Skylines,15628680,1101480,2802,73,3652,362,25,14.19
Clash of Clans,5749440,403380,655,24,803,133,9,14.25
Clash Royale,24436080,756720,6816,43,2291,566,17,32.29
Command & Conquer: Red Alert 3,3091800,17220,3359,4,71,71,0,179.55
Company of Heroes 2,6962520,414180,1025,24,706,161,9,16.81
Conan Exiles,10304760,901800,2151,60,1669,238,20,11.43
Contagion,2973900,9540,15863,4,55,68,0,311.73
Cooking Simulator,4718580,4320,29268,2,30,109,0,1092.26
Counter-Strike: Global Offensive,1593387360,42565440,308216,1993,110383,36935,986,37.43
Crash Bandicoot: N. Sane Trilogy,2908380,291120,3038,22,2634,67,6,9.99
Creative Destruction,26556300,2535780,46298,129,8130,615,58,10.47
CrossCode,2800200,184440,3062,17,469,64,4,15.18
Crossout,3051180,547320,1725,32,1151,70,12,5.57
Crusader Kings II,7974960,404640,3684,60,823,184,9,19.71
Crypto,22069260,965280,1286,34,168,511,22,22.86
Cuphead,5648520,432360,4732,28,2674,130,10,13.06
Danganronpa V3: Killing Harmony,12228900,115860,6034,13,249,283,2,105.55
Dark Souls,25120560,1516800,11747,75,3564,582,35,16.56
Dark Souls II: Scholar of the First Sin,11153280,910380,2488,44,2078,258,21,12.25
Dark Souls III,69396240,4114920,16759,173,10921,1608,95,16.86
Darkest Dungeon,25245540,1047240,18878,56,2680,585,24,24.11
Darksiders,6056580,468660,3314,35,1345,140,10,12.92
Darksiders II,4903800,474600,2436,43,1170,113,11,10.33
Darksiders III,118575240,1345980,77310,580,4166,2748,31,88.1
Darwin Project,3811020,511980,1454,45,1487,88,11,7.44
Dauntless,2837580,417900,433,28,1173,65,9,6.79
DayZ,60653700,2583360,34062,188,5376,1405,59,23.48
Dead by Daylight,527552340,23680800,49502,1300,42862,12228,548,22.28
Dead Cells,13079460,667140,6109,42,2992,303,15,19.61
Deceit,12777960,619500,25113,107,3177,296,14,20.63
Deltarune,35231520,1550460,22805,251,8011,816,35,22.72
Demon's Souls,3335340,53040,3504,6,108,77,1,62.88
Depth,3438900,84720,21167,10,376,79,1,40.59
Destiny,4384440,493020,6017,32,2005,101,11,8.89
Destiny 2,374070000,36599820,26938,1764,77893,8671,848,10.22
Detroit: Become Human,16917240,336420,13293,28,2434,392,7,50.29
Diablo II: Lord of Destruction,36570300,930600,5193,47,1434,847,21,39.3
Diablo III: Reaper of Souls,76004520,4116660,19048,186,10754,1761,95,18.46
Divinity: Original Sin II,16050960,1130640,8008,64,2510,372,26,14.2
Do Not Feed the Monkeys,4457700,58500,6911,13,347,103,1,76.2
Dofus,14934780,612780,4798,43,1053,346,14,24.37
Doki Doki Literature Club,12012660,238800,15777,42,1100,278,5,50.3
Don't Starve,13955340,464760,7199,36,1512,323,10,30.03
Don't Starve Together,35702460,1904280,13778,107,5036,827,44,18.75
Doom,4936800,547980,8868,31,2790,114,12,9.01
Dota 2,2678295180,27077340,353055,1331,36356,62083,627,98.91
Dragalia Lost,6579300,229800,5275,20,379,152,5,28.63
Dragon Age: Origins,4199040,224940,4193,18,497,97,5,18.67
Dragon Ball FighterZ,46773420,1565100,21522,93,6471,1084,36,29.89
Dragon Quest XI,31430820,647520,12859,43,1195,728,15,48.54
DragonBall Z: Dokkan Battle,9091380,198000,7484,20,397,210,4,45.92
Dungeon Fighter Online,3430020,458040,1197,29,513,79,10,7.49
Dungeon Hunter Champions,7387440,122640,10875,13,124,171,2,60.24
Dungeons & Dragons,90877140,1923900,40213,184,3289,2106,44,47.24
Dungreed,8500380,64740,8057,12,274,197,1,131.3
Dying Light,10381380,856320,7032,57,3701,240,19,12.12
EA Sports UFC 3,6023040,166500,13438,18,2350,139,3,36.17
EarthBound,2910360,136380,3116,18,330,67,3,21.34
Elite: Dangerous,10299420,1066020,1998,60,2111,238,24,9.66
Enter the Gungeon,13897200,680400,5569,38,2955,322,15,20.43
Epic Seven,16968540,572220,1485,41,724,393,13,29.65
Escape First,3188640,6720,14480,4,46,73,0,474.5
Escape From Tarkov,224927820,8820360,26739,419,9135,5213,204,25.5
Eternal,39239220,450660,2916,23,566,909,10,87.07
Euro Truck Simulator 2,48801720,3278640,28529,347,8129,1131,76,14.88
Europa Universalis IV,26492700,621720,6388,39,971,614,14,42.61
EVE Online,13732080,691440,2992,33,917,318,16,19.86
EverQuest,3947760,424440,439,31,338,91,9,9.3
Extra Life,30068760,1728780,18933,1074,2075,697,40,17.39
F1 2018,3083640,356280,3812,68,2038,71,8,8.66
Factorio,11580300,903600,6709,51,1770,268,20,12.82
Fallout 4,46459440,3951600,10043,199,10849,1076,91,11.76
Fallout 76,812623020,32799240,209140,5476,59684,18836,760,24.78
Fallout: New Vegas,13368780,832620,11781,49,2606,309,19,16.06
Farming Simulator 17,11205180,1109580,6120,104,2640,259,25,10.1
Farming Simulator 19,120410340,4095660,42848,783,7556,2791,94,29.4
Fate Seeker,2965980,20640,7679,8,63,68,0,143.7
Fate/Grand Order,14607780,465840,14791,62,846,338,10,31.36
FIFA 17,7012920,128880,5788,10,566,162,2,54.41
FIFA 18,3146640,751620,13051,40,4000,72,17,4.19
FIFA 19,1042958280,17770620,160659,1134,49889,24176,411,58.69
FIFA Online 4,22890960,183180,28239,19,462,530,4,124.96
Final Fantasy IV,5786340,215400,9703,35,313,134,4,26.86
Final Fantasy IX,4323660,319020,1641,22,590,100,7,13.55
Final Fantasy Tactics,3469860,53880,2435,7,91,80,1,64.4
Final Fantasy VI,3726120,181680,2506,14,290,86,4,20.51
Final Fantasy VII,18176100,465000,7556,32,957,421,10,39.09
Final Fantasy X,3916920,78120,2053,8,213,90,1,50.14
Final Fantasy X/X-2 HD Remaster,4202400,566520,1712,39,1199,97,13,7.42
Final Fantasy XI Online,38716680,562740,49977,41,553,897,13,68.8
FINAL FANTASY XIV Online,69430920,5718180,88767,534,8346,1609,132,12.14
Final Fantasy XV,2808780,771720,1211,45,2281,65,17,3.64
Final Fantasy: Brave Exvius,3081720,153000,881,14,232,71,3,20.14
Fire Emblem Mobile,4800480,114780,1625,32,190,111,2,41.82
Fishing: Barents Sea,3261960,18120,14821,4,53,75,0,180.02
Food & Drink,67330860,905040,24180,81,3888,1560,20,74.4
Football Manager 2019,63514140,1291680,16189,72,1638,1472,29,49.17
For Honor,37459140,2644620,17789,137,8364,868,61,14.16
For the King,5313900,184980,3791,21,624,123,4,28.73
Fortnite,6467622960,397753020,1077180,34564,800661,149921,9220,16.26
Forts,6561240,14280,26216,5,91,152,0,459.47
Forza Horizon 4,14842500,2140680,5835,128,9170,344,49,6.93
Friday the 13th: The Game,16409460,2020800,13936,367,9238,380,46,8.12
Frostpunk,21439140,393900,8753,48,1440,496,9,54.43
FTL: Faster Than Light,12723960,207900,10363,19,851,294,4,61.2
F�tbol,3931800,46260,7451,20,134,91,1,84.99
Games + Demos,89461080,1801440,27682,91,5490,2073,41,49.66
Gang Beasts,4026600,146160,25648,21,1548,93,3,27.55
Garry's Mod,88788480,1217160,93660,103,5868,2058,28,72.95
Gear.Club,3963420,480,23225,2,4,91,0,8257.13
Gears of War 4,25820700,1437600,10528,97,3481,598,33,17.96
Geometry Dash,3286260,470040,1982,33,2137,76,10,6.99
Getting Over It,11190480,213960,10494,16,1473,259,4,52.3
Girls Frontline,4239900,330540,509,34,501,98,7,12.83
Go,8203320,109680,11205,8,95,190,2,74.79
God of War,13517100,1719060,4554,112,5353,313,39,7.86
God's Basement,5444460,25020,12891,9,163,126,0,217.6
Golf It!,13533720,187080,27452,22,1419,313,4,72.34
Golf With Your Friends,7980960,458640,10940,52,3526,185,10,17.4
Grand Theft Auto V,577610880,16953840,64088,877,41074,13389,392,34.07
Grand Theft Auto: San Andreas,14734920,586260,4707,38,2169,341,13,25.13
Grand Theft Auto: Vice City,3676620,157380,1792,16,524,85,3,23.36
Granny,30122820,19620,38386,9,119,698,0,1535.31
Graveyard Keeper,5441760,424500,2544,40,1032,126,9,12.82
Grim Dawn,3646740,415320,854,27,872,84,9,8.78
Grip,4434660,63420,28331,16,435,102,1,69.93
Guild Wars 2,27339900,1818720,4809,93,2876,633,42,15.03
Guilty Gear Xrd REV 2,3327960,135060,3574,12,448,77,3,24.64
Guitar Hero III: Legends of Rock,7153320,519060,10947,34,2143,165,12,13.78
Gwent: The Witcher Card Game,61347420,1039200,13446,63,1792,1422,24,59.03
Half-Life,5659680,167640,14348,23,825,131,3,33.76
Halo 5: Guardians,18895440,1120020,33163,72,3148,438,25,16.87
Halo: The Master Chief Collection,25888920,1276800,12426,117,3347,600,29,20.28
Hand Simulator,19852500,87000,61470,19,926,460,2,228.19
Hearthstone,1134907860,8769480,96121,317,19968,26307,203,129.42
Hearts of Iron IV,12713640,527940,6633,37,1305,294,12,24.08
Hello Neighbor,3631980,108480,18404,13,1050,84,2,33.48
HellSign,9760140,72300,30005,14,287,226,1,135
Heroes of Might and Magic III: The Shadow of Death,56446260,498000,12604,35,552,1308,11,113.35
Heroes of Newerth,12924000,421020,1293,25,553,299,9,30.7
Heroes of the Storm,373500840,8069700,64502,321,13741,8657,187,46.28
HITMAN,4755600,446100,4081,35,2570,110,10,10.66
Hitman 2,176687820,1744320,78744,265,6342,4095,40,101.29
Hollow Knight,14965680,1613700,6140,87,4324,346,37,9.27
Horizon Zero Dawn,4670100,701220,3592,36,2002,108,16,6.66
House Flipper,3373620,196020,3426,16,1069,78,4,17.21
Human: Fall Flat,5547720,316920,5596,33,3047,128,7,17.51
Hunt: Showdown,20456700,1494720,15863,79,3469,474,34,13.69
Hyrule Warriors,3845100,52440,4210,9,167,89,1,73.32
I Wanna Be The Boshy,4848900,42180,4833,6,182,112,0,114.96
I Wanna Be The Guy,3897120,178380,1252,14,232,90,4,21.85
Iconoclasts,8226900,32940,7728,4,97,190,0,249.75
Identity V,6670500,366000,5021,28,567,154,8,18.23
Infestation: The New Z,12250140,570840,809,28,786,283,13,21.46
Injustice 2,7000500,174720,12198,16,1107,162,4,40.07
iRacing.com,12689100,970800,1925,80,1486,294,22,13.07
Islands of Nyne: Battle Royale,11160240,108960,48125,95,519,258,2,102.43
Jurassic World Evolution,4464360,416580,6564,41,1554,103,9,10.72
Just Cause 4,13200000,19800,57916,58,108,305,0,666.67
Just Chatting,2749177140,32037720,227149,1213,91574,63726,742,85.81
Just Dance 2019,20063040,186240,13904,15,630,465,4,107.73
Kartrider,15974400,338100,11917,38,996,370,7,47.25
Kerbal Space Program,43779960,554700,11100,38,1326,1014,12,78.93
Killing Floor 2,8112660,841260,24378,76,3441,188,19,9.64
Kingdom Come: Deliverance,4447260,402300,2879,27,1086,103,9,11.05
Kingdom Hearts HD I.5 + II.5 Remix,14207760,1451280,2162,96,2114,329,33,9.79
Kingdom Hearts HD II.8: Final Chapter Prologue,2878680,91740,2276,10,222,66,2,31.38
Knight Online,20698140,498420,5391,42,585,479,11,41.53
Last Year: The Nightmare,49745340,486780,49978,199,1472,1153,11,102.19
Layers of Fear,2957340,286740,2523,144,1916,68,6,10.31
League of Legends,4957357440,99841500,1147825,4981,164208,114913,2314,49.65
Left 4 Dead 2,13999380,1184820,31520,148,5823,324,27,11.82
Legends of Aria,3444000,140400,1524,54,247,79,3,24.53
Leisure Suit Larry: Wet Dreams Don't Dry,9441780,126300,3249,33,358,218,2,74.76
Let It Die,2915280,370560,595,21,834,67,8,7.87
Lethal League Blaze,8899920,139200,24691,21,800,206,3,63.94
Life Is Strange,2849820,312120,5321,21,1398,66,7,9.13
Life Is Strange 2,5512920,98520,14383,14,620,127,2,55.96
Lineage II,108295860,2596800,19461,165,2248,2510,60,41.7
Little Nightmares,5418960,250500,7365,53,1349,125,5,21.63
Lost Ark Online,729008220,12808200,89384,1573,9661,16898,296,56.92
Lost In Vivo,3044700,13920,13586,3,67,70,0,218.73
Lucius,6407820,23580,21145,7,118,148,0,271.75
M.U.G.E.N,16214220,137520,624,8,66,375,3,117.9
Madden NFL 19,56813940,8109840,19729,567,21359,1316,187,7.01
Mafia,4001640,48900,3320,10,152,92,1,81.83
Magic: The Gathering,424857180,5635140,54837,245,11102,9848,130,75.39
Makers & Crafting,19010340,1286280,7367,76,2507,440,29,14.78
MapleStory,10579020,998940,987,53,1363,245,23,10.59
MapleStory 2,56984220,3690840,6633,286,7878,1320,85,15.44
Marble It Up!,19703880,35520,42256,9,218,456,0,554.73
Marbles On Stream,82446120,2066580,24166,94,4734,1911,47,39.89
Mario Kart 8,20662980,657480,28907,54,3007,478,15,31.43
Mario Kart Wii,3802500,212760,1330,24,461,88,4,17.87
Marvel's Spider-Man,23884560,3763320,9261,302,15346,553,87,6.35
MechWarrior Online,7044180,482700,499,29,502,163,11,14.59
Mega Man 11,16228620,315780,12284,30,1168,376,7,51.39
Metal Gear Solid,3155100,70860,3590,8,207,73,1,44.53
Metal Gear Solid V: The Phantom Pain,4528260,526200,9967,36,1654,104,12,8.61
Metin 2,13240620,752280,2303,51,1145,306,17,17.6
Metro 2033,5065260,300900,6995,31,1567,117,6,16.83
Microsoft Flight Simulator X,13241940,961680,1691,52,1145,306,22,13.77
Might & Magic: Elemental Guardians,3479580,73140,1144,10,83,80,1,47.57
Minecraft,249750000,14709480,44783,744,39969,5789,340,16.98
Minion Masters,6064020,581880,2262,38,1544,140,13,10.42
MLB The Show 18,5827500,468300,1601,34,1266,135,10,12.44
Monopoly Plus,2913300,71940,8028,11,572,67,1,40.5
Monster Hunter Generations Ultimate,4906440,450960,461,29,649,113,10,10.88
Monster Hunter World,68923200,6040320,10828,383,16036,1597,140,11.41
Moonlight Blade,12608940,522720,8974,50,581,292,12,24.12
Mortal Kombat X,6508500,439500,1115,31,2612,150,10,14.81
Mu Online,3989820,103740,680,9,155,92,2,38.46
Music & Performing Arts,320801220,11036520,22400,360,12414,7436,255,29.07
My Hero One's Justice,7007940,466020,20171,51,1399,162,10,15.04
My Summer Car,23504580,265500,6072,18,621,544,6,88.53
Mystery Science Theater 3000,3861480,840,8134,1,3,89,0,4597
Naruto to Boruto: Shinobi Striker,3084660,596220,363,48,1908,71,13,5.17
NBA 2K19,160814520,12706200,16460,663,29970,3727,294,12.66
Neverwinter,6395940,714720,2576,36,1496,148,16,8.95
NHL 17,5690700,44220,401,3,90,131,1,128.69
NHL 19,10666860,652440,1730,55,3585,247,15,16.35
NieR Automata,6193740,571260,2937,36,2654,143,13,10.84
Nioh,6795720,585480,3326,34,1306,157,13,11.61
No Man's Sky,8445420,986280,3971,60,2836,195,22,8.56
Old School RuneScape,304615920,6440220,66958,253,9608,7061,149,47.3
One Hour One Life,67099080,287580,34399,33,767,1555,6,233.32
Ori and the Blind Forest,3886380,300180,4733,23,1105,90,6,12.95
osu!,59537640,6930480,9239,306,25338,1380,160,8.59
Outlast,8238000,711840,10954,231,4979,190,16,11.57
Outlast 2,8345760,462060,4456,155,2667,193,10,18.06
Overcooked! 2,6676620,280020,22303,32,1941,154,6,23.84
Overkill's The Walking Dead,85819260,1997760,88925,465,4038,1989,46,42.96
Overwatch,1310683860,55477800,259787,2133,129623,30382,1285,23.63
Oxygen Not Included,11717520,792720,2539,38,1439,271,18,14.78
Paladins,38178480,4007220,7818,174,12898,884,92,9.53
Paper Mario: The Thousand-Year Door,3324780,170880,1138,19,345,77,3,19.46
Party Hard 2,4418520,59700,28135,12,425,102,1,74.01
Path of Exile,163828140,4911960,23786,189,7572,3797,113,33.35
Pathfinder: Kingmaker,4805820,339660,2559,27,469,111,7,14.15
Payday 2,6458640,988860,3854,60,3751,149,22,6.53
Penn And Teller's Smoke And Mirrors,42085860,10320,11026,3,11,975,0,4078.09
Persona 4 Golden,3128220,54840,1590,7,73,72,1,57.04
Persona 5,6060600,497280,2111,29,1141,140,11,12.19
Pillars of Eternity,2900160,105420,226,9,209,67,2,27.51
PlanetSide 2,3750660,415620,2166,26,1038,86,9,9.02
PLAYERUNKNOWN'S BATTLEGROUNDS,1228027080,45245640,97870,1772,74828,28466,1048,27.14
Pok�mon Crystal,4967280,136140,4051,13,365,115,3,36.49
Pok�mon Diamond/Pearl,3820680,30120,18919,7,136,88,0,126.85
Pok�mon Emerald,2989200,192840,674,18,652,69,4,15.5
Pok�mon FireRed/LeafGreen,3157500,284400,8710,23,1038,73,6,11.1
Pok�mon HeartGold/SoulSilver,5260260,208200,13264,19,615,121,4,25.27
Pok�mon Red/Blue,5679660,221880,2787,17,537,131,5,25.6
Pok�mon Stadium 2,6389100,16740,1833,4,70,148,0,381.67
Pok�mon Trading Card Game,4773240,33060,8957,9,132,110,0,144.38
Pok�mon Trading Card Game Online,6390000,369660,559,24,883,148,8,17.29
Pok�mon Ultra Sun/Ultra Moon,35844660,1130820,8838,75,1803,830,26,31.7
"Pokemon: Let's Go, Pikachu!/Eevee!",1047208680,10735620,143784,1583,16180,24274,248,97.55
Poker,228313200,3229860,23317,165,3231,5292,74,70.69
Portal 2,12146700,473460,17013,45,2648,281,10,25.66
Prime World,8447220,406080,644,24,295,195,9,20.8
Princess Connect! Re: Dive,6898380,155100,7406,17,245,159,3,44.48
Pro Evolution Soccer 2019,4357080,640380,7362,37,1596,100,14,6.8
Project Hospital,3431760,93480,3352,13,304,79,2,36.71
Protocol,16818540,24480,25854,9,91,389,0,687.03
PUBG MOBILE,34347360,6954480,3072,271,14168,796,161,4.94
Pummel Party,27431760,197160,27321,23,1166,635,4,139.13
Punch Club,3074400,21480,3289,4,90,71,0,143.13
Puyo Puyo Tetris,8579400,294900,27496,19,881,198,6,29.09
Puzzle & Dragons,3250260,116040,1379,10,192,75,2,28.01
Quake Champions,39330120,1516140,14056,74,3376,911,35,25.94
Raft,5558940,408660,6587,43,1793,128,9,13.6
Ragnarok M: Eternal Love,65948700,997080,6304,56,1210,1528,23,66.14
Ragnarok Online,6810840,612300,2076,36,748,157,14,11.12
Realm Royale,11289420,1566180,1449,140,4139,261,36,7.21
Red Dead Redemption 2,905786640,53386260,103026,3315,114076,20996,1237,16.97
Resident Evil 2 (1998),7606680,175620,5464,16,462,176,4,43.31
Resident Evil 3: Nemesis,5563380,101220,3577,9,280,128,2,54.96
Resident Evil 4,6032760,612720,1418,52,1913,139,14,9.85
Resident Evil 7 biohazard,13354380,836820,7032,172,3492,309,19,15.96
Resident Evil HD Remaster,3262920,239220,1837,40,758,75,5,13.64
Retro,83313900,4204860,13650,160,5190,1931,97,19.81
Return of the Obra Dinn,3194040,101220,1639,12,360,74,2,31.56
RimWorld,72542640,2192520,15742,125,3382,1681,50,33.09
Ring Of Elysium,83616300,7735860,42959,937,22600,1938,179,10.81
Rise to Ruins,5022120,29880,14504,6,109,116,0,168.08
ROBLOX,23876760,3519300,20567,187,14294,553,81,6.78
Rocket League,318199980,13514880,167749,580,53794,7375,313,23.54
RuneScape,22518900,1884120,5089,102,3808,521,43,11.95
Russian Fishing 4,14884980,1010700,1331,57,795,345,23,14.73
Rust,216946080,6559740,30749,373,11486,5028,152,33.07
Science & Technology,47291940,2738940,11978,161,4824,1096,63,17.27
SCP: Secret Laboratory,13026420,381900,12306,43,1782,301,8,34.11
SCUM,12162000,1221180,21013,94,2834,281,28,9.96
Sea of Thieves,41003520,2457360,21558,185,5951,950,56,16.69
Secrets of Grindea,3341520,17580,11159,3,62,77,0,190.08
Shadow of the Tomb Raider,7775040,1252080,1625,87,4584,180,29,6.21
Shadowverse,26613360,761520,18126,44,1105,616,17,34.95
Sid Meier's Civilization V,15913020,608760,3599,37,1868,368,14,26.14
Sid Meier's Civilization VI,10779240,433020,10492,30,1504,249,10,24.89
Sid Meier's Civilization VI: Rise & Fall,3780300,178320,2502,20,368,87,4,21.2
Sinner: Sacrifice for Redemption,3859800,55500,11444,9,375,89,1,69.55
skribbl.io,5053140,306960,7790,28,3009,117,7,16.46
Slay the Spire,114664200,1380780,11672,66,3992,2657,32,83.04
Smite,133295100,5737380,29167,265,11510,3089,132,23.23
SOMA,5552580,376200,4425,135,1568,128,8,14.76
Soulcalibur VI,60771960,1797720,16866,123,4583,1408,41,33.81
Special Events,220198380,596880,259808,75,2447,5104,13,368.92
Spelunky,7895820,126000,24834,14,528,183,2,62.67
Splatoon 2,17315760,1638000,3041,160,2947,401,37,10.57
SpongeBob SquarePants: Battle for Bikini Bottom,3461220,68940,726,10,127,80,1,50.21
Sports & Fitness,59614860,232500,160132,52,1006,1381,5,256.41
SpyParty,5592660,16680,10495,6,91,129,0,335.29
Spyro Reignited Trilogy,111451320,6500100,58334,1346,17693,2583,150,17.15
Squad,5142600,637920,3055,54,1953,119,14,8.06
Star Citizen,53488560,1952220,13910,193,3647,1239,45,27.4
Star Wars Battlefront II,11964120,879960,6284,107,5967,277,20,13.6
Star Wars: The Old Republic,5219160,741300,832,39,1267,120,17,7.04
StarCraft,52460280,777300,41029,43,1422,1216,18,67.49
StarCraft II,364483320,4060620,148897,156,7098,8448,94,89.76
Stardew Valley,14756280,1889220,1983,89,6040,342,43,7.81
Stellaris,12045660,450960,4968,39,1102,279,10,26.71
Stranded Deep,4196940,43560,3690,6,197,97,1,96.35
Street Fighter V,118730940,1799760,86152,86,3606,2752,41,65.97
Subnautica,7669980,858720,4725,54,2342,177,19,8.93
Summoners War: Sky Arena,52254960,1037820,3630,55,1179,1211,24,50.35
Sunset Overdrive,4907160,210000,29226,43,1106,113,4,23.37
Super Mario 64,31286580,821580,9811,43,1521,725,19,38.08
Super Mario Bros. 2,4543140,48840,2661,16,177,105,1,93.02
Super Mario Bros. 3,4927980,134520,2643,19,524,114,3,36.63
Super Mario Maker,58762620,629280,12552,38,689,1362,14,93.38
Super Mario Odyssey,24922440,641700,6142,36,1438,577,14,38.84
Super Mario Party,10327920,248760,7765,56,1442,239,5,41.52
Super Mario Sunshine,3755820,198480,741,15,469,87,4,18.92
Super Mario World,25766400,538320,14378,43,1141,597,12,47.86
Super Meat Boy,2975700,73020,2707,8,559,68,1,40.75
Super Metroid,10127940,388080,7862,35,585,234,8,26.1
Super Seducer 2,5827140,55380,20000,8,305,135,1,105.22
Super Smash Bros. for Wii U,58106220,1245060,34411,237,2721,1346,28,46.67
Super Smash Bros. Melee,98769720,826080,59593,58,2503,2289,19,119.56
Super Smash Bros. Ultimate,18280500,123060,15703,342,687,423,2,148.55
surviv.io,3982080,407160,569,25,1190,92,9,9.78
Surviving Mars,5660520,194400,3037,33,631,131,4,29.12
Tabletop Simulator,8973840,304860,7431,34,1487,208,7,29.44
Tales Runner,5466240,21000,6360,6,89,126,0,260.3
Talk Shows & Podcasts,298732680,3984600,63169,361,13841,6924,92,74.97
Team Fortress 2,20394660,1327140,78576,70,4241,472,30,15.37
Tekken 7,57960360,1917540,71202,75,6029,1343,44,30.23
Tera,6798900,1104780,1780,52,2284,157,25,6.15
Terraria,14773860,1634940,12153,83,5043,342,37,9.04
Tetris Effect,7845600,138000,26716,27,1573,181,3,56.85
The Binding of Isaac: Afterbirth,52119060,1241700,19289,65,3901,1208,28,41.97
The Blackout Club,8377380,77460,17235,20,439,194,1,108.15
The Conjuring House,4396980,111060,3455,27,405,101,2,39.59
The Elder Scrolls Online,81479160,2944260,12885,138,4775,1888,68,27.67
The Elder Scrolls V: Skyrim,36712860,3300420,15075,144,8739,851,76,11.12
The Elder Scrolls: Legends,15975480,366660,9969,21,510,370,8,43.57
The Evil Within,5666100,345240,2808,58,1080,131,8,16.41
The Evil Within 2,4302480,274200,2722,35,1289,99,6,15.69
The Exorcist: Legion VR,3782460,8760,23142,6,60,87,0,431.79
The Forest,22830480,3371400,22725,235,11505,529,78,6.77
The Golf Club 2019 Featuring PGA Tour,3115140,70320,4838,9,153,72,1,44.3
The Jackbox Party Pack 3,10578600,495960,8614,64,3153,245,11,21.33
The Jackbox Party Pack 4,4272960,238860,1369,27,1700,99,5,17.89
The Jackbox Party Pack 5,27282180,865740,17014,128,3599,632,20,31.51
The Joy Of Sex,3296520,20220,28444,5,59,76,0,163.03
The King of Fighters '98: The Slugfest,9577140,40080,4896,6,60,222,0,238.95
The Last of Us,10212720,884700,4906,56,895,236,20,11.54
