Game,WatchTime,StreamTime,PeakViewers,PeakChannels,UniqueStreamers,AverageViewers,AverageChannels,AverageViewerToChannelRatio
Black Survival,4350060,136020,707,10,171,100,3,31.98
Blade and Soul,27377400,1835400,8785,112,2703,634,42,14.92
BlazBlue Cross Tag Battle,28301040,1457220,14751,194,3902,656,33,19.42
Bless Online,45712920,3022860,9552,335,3964,1059,70,15.12
Blood Bowl 2,3963360,232500,751,22,469,91,5,17.05
Bloodborne,33475260,2429520,12483,105,7189,775,56,13.78
Bloodborne: The Old Hunters,3945060,43500,6332,8,246,91,1,90.69
Bloodstained: Curse of the Moon,8471820,357180,10362,43,1671,196,8,23.72
Bloons TD 5,16896780,60660,14922,9,382,391,1,278.55
Board Games,3768420,112740,3550,15,276,87,2,33.43
Board Games Live,7068300,44400,6414,7,103,163,1,159.2
Bonk's Revenge,6648180,840,114452,10,12,154,0,7914.5
Borderlands 2,22101600,1995180,3923,94,6716,512,46,11.08
Borderlands: The Pre-Sequel!,17249460,207000,105766,19,878,399,4,83.33
Bound,7486140,4620,95041,12,36,173,0,1620.38
Brawlhalla,9819300,1242120,21132,64,7205,227,28,7.91
Bus Simulator 18,20095620,301140,37341,86,1025,465,6,66.73
Call of Duty: Black Ops II,3756000,792300,994,49,3329,87,18,4.74
Call of Duty: Black Ops III,50849820,10661220,3772,542,44428,1178,247,4.77
Call of Duty: Modern Warfare 3,8576040,651360,2742,104,2739,198,15,13.17
Call of Duty: WWII,144040200,5721900,71491,314,36058,3338,132,25.17
Casino_old,233981100,3535980,25343,119,1340,5423,81,66.17
Castlevania,8111700,21660,135069,12,112,188,0,374.5
Castlevania: Bloodlines,13165920,6480,140359,11,30,305,0,2031.78
Castlevania: Circle of the Moon,7861200,11460,128956,13,41,182,0,685.97
Catherine,6857820,27360,105840,14,81,158,0,250.65
Celeste,12162720,334440,125995,26,1100,281,7,36.37
Chaos;Child,7286880,4200,6934,2,11,168,0,1734.97
Chess,24917220,625140,6379,55,880,577,14,39.86
Cities: Skylines,20100480,1015380,6832,62,3343,465,23,19.8
Clash of Clans,5363760,314340,1180,24,820,124,7,17.06
Clash Royale,34351260,787440,15148,42,2203,796,18,43.62
Clue/Cluedo The Classic Mystery Game,5356200,5700,6822,6,26,124,0,939.68
Company of Heroes 2,9487560,398820,5033,25,689,219,9,23.79
Conan Exiles,51906480,4382580,8175,276,6875,1203,101,11.84
Contra: Shattered Soldier,5545680,3480,115005,9,17,128,0,1593.59
Cool Spot,5580120,2700,91759,9,18,129,0,2066.71
Counter-Strike: Global Offensive,1313869020,36011580,262105,1578,105655,30455,834,36.48
Crash Bandicoot: N. Sane Trilogy,15318780,498720,119032,290,3685,355,11,30.72
Creative,249049980,16690620,15642,660,31942,5773,386,14.92
Crying is not Enough,7161600,14580,16925,11,98,166,0,491.19
Crypto,8655120,404580,875,16,123,200,9,21.39
Cuisine Royale,46398120,778080,58647,126,6737,1075,18,59.63
Cultist Simulator,7050720,165300,4834,22,547,163,3,42.65
Cuphead,20446320,690660,179901,51,4486,473,16,29.6
Dark Souls,347026020,8207280,54056,474,16070,8044,190,42.28
Dark Souls II,64011480,436200,23315,35,1215,1483,10,146.75
Dark Souls II: Scholar of the First Sin,18009840,1183920,17352,64,2780,417,27,15.21
Dark Souls III,69475380,5124780,12258,217,14978,1610,118,13.56
Darkest Dungeon,189693180,2379240,34401,242,5759,4397,55,79.73
Darwin Project,9198180,1807140,2075,126,6270,213,41,5.09
Dauntless,59161920,6204180,10156,557,15913,1371,143,9.54
DayZ,91038360,2599860,46198,166,6252,2110,60,35.02
DCS World,3934800,383580,1367,31,718,91,8,10.26
Dead by Daylight,492417540,18126060,50339,793,29956,11414,420,27.17
Dead Cells,8052360,487260,4800,34,2429,186,11,16.53
DeadCore,5012340,4980,90367,12,37,116,0,1006.49
Deathgarden,25687440,643140,46007,492,3455,595,14,39.94
Deceit,19943700,724680,17241,60,3905,462,16,27.52
Destiny,3943140,1120080,931,61,4288,91,25,3.52
Destiny 2,276029280,22921860,177513,1194,43290,6398,531,12.04
Detroit: Become Human,219071400,3973980,31786,257,15510,5078,92,55.13
Deus Ex,11521740,43320,111969,12,141,267,1,265.97
Devil May Cry 4: Special Edition,4640820,305820,14714,25,1527,107,7,15.18
Devil May Cry HD Collection,3782940,261120,2443,28,1127,87,6,14.49
Diablo II: Lord of Destruction,27074100,848160,3080,97,1098,627,19,31.92
Diablo III: Reaper of Souls,186370800,8632560,20620,1347,16417,4320,200,21.59
Disgaea 5: Alliance of Vengeance,11873400,51660,112255,14,123,275,1,229.84
Divinity: Original Sin II,4013280,745080,2081,52,2018,93,17,5.39
Doctor Who,195136980,47940,22462,3,21,4523,1,4070.44
Dofus,9393120,506820,2787,37,804,217,11,18.53
Domina,6253920,51240,13056,7,286,144,1,122.05
Donkey Kong Country: Tropical Freeze,6554700,118620,11487,13,464,151,2,55.26
Don't Starve Together,12603000,1324500,3801,75,4665,292,30,9.52
Doom,16726080,935340,146417,59,4792,387,21,17.88
Dota 2,2885911740,25239060,341454,1126,34627,66896,585,114.34
Dragon Ball FighterZ,99523440,1899960,34244,206,8298,2306,44,52.38
Dragon Warrior III,13686600,27360,128901,13,44,317,0,500.24
"Dude, Stop",5343360,23160,16046,7,187,123,0,230.72
Dungeon Fighter Online,10728060,553140,4233,35,604,248,12,19.39
Dungeon Hunter Champions,7113480,255720,10858,17,287,164,5,27.82
Dungeon Maker,4079100,39900,7666,9,75,94,0,102.23
Dungeons & Dragons,107080980,2305560,42492,180,3435,2482,53,46.44
Dying Light,11060040,1873200,2299,99,7228,256,43,5.9
E3,92058600,227940,566191,1547,2063,2133,5,403.87
E3 2018,1407566580,3898200,1817345,5125,13346,32627,90,361.08
Elite: Dangerous,9007800,1105980,1259,95,2269,208,25,8.14
Enter the Gungeon,26069940,538980,139787,47,2613,604,12,48.37
Escape From Tarkov,132324840,6327480,17625,279,7629,3067,146,20.91
Eternal,5251860,165540,2478,19,269,121,3,31.73
Euro Truck Simulator 2,23830920,2975340,5949,207,8149,552,68,8.01
Europa Universalis IV,15312120,573540,2667,43,1000,354,13,26.7
EVE Online,16261800,822300,4436,41,1029,376,19,19.78
Everybody's Golf,5146380,48120,14247,6,201,119,1,106.95
F1 2017,5759640,280440,5749,45,1922,133,6,20.54
Factorio,9511920,983700,1847,56,2000,220,22,9.67
Fallout 2,8090040,112560,8742,10,260,187,2,71.87
Fallout 3,15861960,714600,11158,38,2273,367,16,22.2
Fallout 4,49193700,7321500,5939,290,20479,1140,169,6.72
Fallout: New Vegas,16543440,1510620,4248,76,4643,383,35,10.95
Far Cry 5,11020560,1832280,5385,135,12501,255,42,6.01
Farming Simulator 17,10034040,1506000,1999,91,2849,232,34,6.66
Fate/Grand Order,12674040,606240,2935,41,969,293,14,20.91
FIFA 17,5306760,207180,1506,14,1355,123,4,25.61
FIFA 18,246863040,9226740,66256,630,34867,5722,213,26.76
FIFA Online 4,38634120,375300,16237,49,995,895,8,102.94
Fighting EX Layer,5912580,38640,8909,24,151,137,0,153.02
Final Fantasy IV,4842480,304680,1088,43,401,112,7,15.89
Final Fantasy V,6069300,425880,2141,75,588,140,9,14.25
Final Fantasy VII,9492900,502800,4535,30,1006,220,11,18.88
Final Fantasy VIII,4031280,221640,1540,16,417,93,5,18.19
Final Fantasy XI Online,4653480,417000,741,25,329,107,9,11.16
FINAL FANTASY XIV Online,120646320,7655760,21284,549,9652,2796,177,15.76
Final Fantasy XV,4831860,1146840,783,63,3660,112,26,4.21
Fire Emblem Mobile,6634860,129600,1608,19,292,153,3,51.19
Football Manager 2018,29724120,642480,11720,44,1028,689,14,46.26
For Honor,58718160,4601040,23701,308,17148,1361,106,12.76
Fortnite,7611599340,407860860,1460297,23749,847488,176439,9454,18.66
Forts,11231760,72780,19478,31,424,260,1,154.32
Forza Horizon 3,4929120,825060,29079,48,4683,114,19,5.97
Fractured Lands,11478840,114060,48650,92,554,266,2,100.64
FreezeME,8770140,1260,99295,10,13,203,0,6960.43
Friday the 13th: The Game,12822540,1272660,47974,83,4892,297,29,10.08
Frostpunk,39476400,603840,18296,40,2009,915,13,65.38
FTL: Faster Than Light,8654700,185280,4908,16,821,200,4,46.71
Gal*Gun 2,4531320,24300,5693,8,66,105,0,186.47
Games + Demos,79274880,1342200,25818,61,4373,1837,31,59.06
Garry's Mod,15818100,1208280,13450,72,6068,366,28,13.09
Gartic,5846940,104700,15756,18,1129,135,2,55.84
Gauntlet Legends,8645520,9360,81257,8,28,200,0,923.67
Gears of War 4,20757000,1792680,10716,115,5007,481,41,11.58
GeoGuessr,5176620,64320,5648,13,391,119,1,80.48
Geometry Dash,4102140,556740,8526,34,2524,95,12,7.37
GetAmped,4065060,14400,10209,4,50,94,0,282.3
Getting Over It,5305680,278820,10079,26,1678,122,6,19.03
Ghosts 'N Goblins,4279980,3480,72041,9,23,99,0,1229.88
Girls Frontline,8794260,452700,1383,35,540,203,10,19.43
God of War,31903860,5091480,9939,236,14924,739,118,6.27
Golf It!,16267860,183420,75831,25,1508,377,4,88.69
Golf With Your Friends,6854160,481680,26786,57,4028,158,11,14.23
Gran Turismo Sport,3937980,279420,6190,25,949,91,6,14.09
Grand Theft Auto V,731028360,18569940,68403,868,46694,16945,430,39.37
Grand Theft Auto: San Andreas,9380640,813540,3419,47,3059,217,18,11.53
Graveyard Keeper,21641340,304560,23712,34,741,501,7,71.06
Grim Fandango,3969840,29280,7205,4,122,92,0,135.58
Guild Wars 2,37440840,2569260,5057,115,4591,867,59,14.57
Guilty Gear Xrd REV 2,5120220,136560,3264,10,541,118,3,37.49
Guitar Hero III: Legends of Rock,9898740,639240,5960,34,2388,229,14,15.49
Gwent: The Witcher Card Game,57289920,898980,3139,58,1422,1328,20,63.73
Hagane: The Final Conflict,5307480,1260,89827,10,13,123,0,4212.29
Half-Life,7433940,131640,125967,13,828,172,3,56.47
Half-Life 2,3860820,161520,6584,13,839,89,3,23.9
Halo 2,13289940,41040,113571,15,185,308,0,323.83
Halo 5: Guardians,13983480,1899660,1934,98,5254,324,44,7.36
Halo: The Master Chief Collection,7599120,905880,1382,57,2771,176,20,8.39
Hand Simulator,4194600,94320,10695,13,1042,97,2,44.47
Hearthstone,1657768980,10325220,101753,417,22763,38427,239,160.56
Hearts of Iron IV,20365500,546060,3383,36,1513,472,12,37.3
Heavy Rain,5928180,129060,2775,10,771,137,2,45.93
Heroes of Might and Magic III: The Shadow of Death,25504560,374340,6345,25,475,591,8,68.13
Heroes of Might and Magic V,12799200,40080,5483,5,95,296,0,319.34
Heroes of Might and Magic V: Tribes of the East,8205360,82560,5713,12,105,190,1,99.39
Heroes of Newerth,9311400,424380,1013,23,587,215,9,21.94
Heroes of the Storm,525941820,8690820,74026,333,15134,12191,201,60.52
HITMAN,5104920,332760,9767,22,1859,118,7,15.34
Hitman 2,7637700,17580,26489,10,108,177,0,434.45
Hob,9067500,27600,107040,12,115,210,0,328.53
Holdfast: Nations At War,4486620,48540,5553,11,232,104,1,92.43
Hollow Knight,13356780,984120,7912,62,3024,309,22,13.57
Horizon Zero Dawn,9297600,1229160,2443,73,3438,215,28,7.56
Hot Lava,25368600,226320,42570,34,1410,588,5,112.09
House Flipper,29758260,1034520,10183,61,3993,689,23,28.77
Human: Fall Flat,8522160,278580,22265,30,2144,197,6,30.59
Hunt: Showdown,26081340,1540080,20622,96,3684,604,35,16.94
I Am Bread,4570140,18540,105670,9,167,105,0,246.5
I Wanna Be The Guy,5614260,219600,1946,18,283,130,5,25.57
Iconoclasts,7042920,43800,114036,13,132,163,1,160.8
Infestation: The New Z,22205940,761700,3014,34,933,514,17,29.15
Injustice 2,8868300,347940,13592,22,1848,205,8,25.49
iRacing.com,9400800,906780,895,75,1559,217,21,10.37
IRL,2634095760,35910000,165033,1285,111721,61059,832,73.35
IRONSIGHT,5819280,985260,2170,73,3979,134,22,5.91
Jurassic World Evolution,611703660,9266760,202465,1717,18478,14179,214,66.01
Just Dance 2018,14660040,116580,16119,13,505,339,2,125.75
Just Shapes & Beats,8286000,110940,26162,21,753,192,2,74.69
Kartrider,10705140,206160,6848,25,620,248,4,51.93
Kerbal Space Program,12009120,435960,11054,24,1231,278,10,27.55
Kid Kool,4225980,2100,71589,7,8,97,0,2012.37
Killing Floor 2,5784840,1194240,2885,86,5723,134,27,4.84
Kingdom Come: Deliverance,4646460,535560,2650,38,1558,107,12,8.68
Kingdom Hearts,5939400,176160,6922,17,583,137,4,33.72
Kingdom Hearts HD I.5 + II.5 Remix,19691340,1797480,5687,115,3508,456,41,10.95
Kirby: Super Star Ultra,5404920,6780,121714,12,28,125,0,797.19
Kirby's Adventure,7042320,12600,117870,14,63,163,0,558.91
Knight Online,7998000,300600,1685,25,367,185,6,26.61
League of Legends,4349492640,79633740,241343,3310,136011,100822,1845,54.62
Left 4 Dead 2,13243800,1143420,17472,74,5837,306,26,11.58
Legend of Kay Anniversary,7379580,3300,103343,11,27,171,0,2236.24
Life Is Strange,14015700,761040,14706,56,2895,324,17,18.42
Life Is Strange: Before the Storm,4701660,374760,5930,31,1371,108,8,12.55
Lineage II,73777020,2106180,7225,134,1606,1710,48,35.03
Lust for Darkness,5572020,63480,6194,20,395,129,1,87.78
M.U.G.E.N,17256240,118980,1640,6,84,400,2,145.03
Madden NFL 18,19644540,4030560,13940,268,12198,455,93,4.87
Mafia,4740660,55980,6032,9,144,109,1,84.68
Magic: The Gathering,221564760,2441460,34591,133,3894,5135,56,90.75
MapleStory,54859920,2141580,14398,135,3132,1271,49,25.62
Mario + Rabbids Kingdom Battle,5254260,104220,4534,22,327,121,2,50.42
Mario Kart 8,22583820,812940,20518,53,3223,523,18,27.78
Mario Party 2,10703940,34680,57393,8,175,248,0,308.65
Mario Tennis Aces,179868000,1388040,56535,348,4532,4169,32,129.58
Master Spy,7508580,1680,124146,7,15,174,0,4469.39
Max Payne 3,6470100,57780,14981,9,268,149,1,111.98
MDK 2,10914540,1500,17526,3,6,253,0,7276.36
MechWarrior Online,7995060,592260,642,36,740,185,13,13.5
Mega Man 6,10514760,16500,133787,15,57,243,0,637.26
Mega Man 7,11449500,15660,117432,9,63,265,0,731.13
Mega Man 9,6184740,13560,140066,11,53,143,0,456.1
Mega Man X,5370960,114360,3936,18,374,124,2,46.97
Mega Man X2,13124700,33540,122410,12,112,304,0,391.31
Mega Man Zero 4,11863860,7620,119705,10,20,275,0,1556.94
Memories of Mars,6806400,167820,37100,34,339,157,3,40.56
Metal Gear Solid V: The Phantom Pain,10463160,820020,4795,40,3135,242,19,12.76
Metal Gear Solid: The Twin Snakes,13020960,16320,132881,16,66,301,0,797.85
Metin 2,14465280,740940,2014,47,1171,335,17,19.52
Metro 2033,5436780,265320,8779,22,1289,126,6,20.49
Metro: Last Light,5461740,232020,4432,24,948,126,5,23.54
Metroid Prime 2: Echoes,5760300,37680,7000,5,73,133,0,152.87
Metroid: Zero Mission,14340300,54840,139138,14,136,332,1,261.49
Microsoft Flight Simulator X,10619940,901740,1755,54,1143,246,20,11.78
Might & Magic: Elemental Guardians,17005560,300300,4737,21,397,394,6,56.63
Minecraft,184778640,14051100,27186,552,43784,4283,325,13.15
Miner Ultra Adventures,6603780,2520,109657,8,29,153,0,2620.55
MLB The Show 18,17161680,773340,7152,56,2893,397,17,22.19
Modern Warfare 2,6797880,303960,1813,28,1650,157,7,22.36
Monster Hunter World,57296880,3657660,7169,180,14190,1328,84,15.66
Moonlighter,29662260,1235100,12064,144,4103,687,28,24.02
Mortal Kombat X,7979160,491520,10122,25,2849,184,11,16.23
Mount & Blade: Warband,26945880,490560,17388,27,1430,624,11,54.93
Music & Performing Arts,257279340,9575400,40457,295,10203,5963,221,26.87
My Summer Car,8933760,142800,4086,18,476,207,3,62.56
NBA 2K18,137299440,7454820,21697,377,21132,3182,172,18.42
Neverwinter,6031260,750120,3660,40,1490,139,17,8.04
New Super Mario Bros. 2,9294420,7560,127382,13,31,215,0,1229.42
NHL 17,3890340,45300,266,3,127,90,1,85.88
NHL 18,9509160,455280,27854,52,2832,220,10,20.89
NieR Automata,9891000,758340,12286,57,3112,229,17,13.04
Ninja Gaiden Black,15607080,34620,156016,16,147,361,0,450.81
Nioh,18064560,1404660,4215,88,3259,418,32,12.86
No Man's Sky,3880200,517140,1223,26,1332,89,11,7.5
Octopath Traveler,4681140,124380,33136,35,677,108,2,37.64
Old School RuneScape,3801540,569220,1548,34,1728,88,13,6.68
Ori and the Blind Forest,5802000,683040,2403,54,2816,134,15,8.49
osu!,47386140,6632760,9140,264,25383,1098,153,7.14
Outlast,7430580,639600,4182,41,4497,172,14,11.62
Outlast 2,4549560,389820,6688,29,2381,105,9,11.67
Overcooked!,8494740,85080,34351,11,893,196,1,99.84
Overwatch,1387664280,48149760,220801,1875,119586,32166,1116,28.82
Oxygen Not Included,28053240,942840,7357,55,1944,650,21,29.75
Paladins,37324740,4809480,10061,203,18400,865,111,7.76
Paper Mario,20789040,120180,137379,42,298,481,2,172.98
Paradox of the Cryptomancers,8586840,6900,13834,4,17,199,0,1244.47
Path of Exile,576864660,15325920,84219,1987,16866,13371,355,37.64
Payday 2,4237020,933600,4039,47,4425,98,21,4.54
Pepsiman,10834500,4320,123101,12,32,251,0,2507.99
Persona 5,8391720,765540,4226,44,1528,194,17,10.96
Pikmin 3,11205960,11820,117811,13,35,259,0,948.05
Pillars of Eternity,4397400,173580,649,15,394,101,4,25.33
Planet Coaster,23896680,413940,9554,32,1532,553,9,57.73
PLAYERUNKNOWN'S BATTLEGROUNDS,2249318520,82181820,197029,3026,149726,52139,1905,27.37
Point Blank,7763340,153240,3687,12,480,179,3,50.66
Pok�mon Black/White Version 2,6364200,64380,4359,10,229,147,1,98.85
Pok�mon Emerald,4932840,302460,1192,22,844,114,7,16.31
Pok�mon FireRed/LeafGreen,5134620,476160,4081,73,1359,119,11,10.78
Pok�mon Platinum,5133840,140940,6020,14,457,119,3,36.43
Pok�mon Quest,17068680,436320,5689,48,1447,395,10,39.12
Pok�mon Red/Blue,4499700,229200,6097,20,593,104,5,19.63
Pok�mon Trading Card Game Online,4387980,356040,453,23,823,101,8,12.32
Pok�mon Ultra Sun/Ultra Moon,48419520,1638600,7382,71,2230,1122,37,29.55
Poker,197143320,2575980,25339,159,2539,4569,59,76.53
Portal 2,9665700,677220,19078,63,3929,224,15,14.27
Post Scriptum: The Bloody Seventh,9487920,222000,11396,143,729,219,5,42.74
Prey,29772180,935640,22928,65,2832,690,21,31.82
Prime World,6772260,325260,538,22,244,156,7,20.82
Project CARS 2,4697100,378240,8357,40,1475,108,8,12.42
Project Zomboid,6433440,208440,6155,17,754,149,4,30.86
PUBG MOBILE,17609100,4274580,1663,160,11635,408,99,4.12
Puyo Puyo Tetris,17088120,298500,11262,20,983,396,6,57.25
Quake Champions,82927800,3817680,46969,234,15842,1922,88,21.72
Raft,78439260,3033180,17769,257,10827,1818,70,25.86
Ragnarok Online,4327260,577920,989,30,708,100,13,7.49
Ratchet: Deadlocked,6382740,6360,105322,9,20,147,0,1003.58
Realm Royale,1104725400,29170320,195317,2408,88418,25607,676,37.87
Resident Evil,8991660,280080,11957,23,1031,208,6,32.1
Resident Evil 2 (1998),26625480,362400,18430,31,886,617,8,73.47
Resident Evil 3: Nemesis,3849060,101640,4424,12,322,89,2,37.87
Resident Evil 4,26085360,691680,156647,45,2210,604,16,37.71
Resident Evil 7 biohazard,12828840,1006140,4795,59,3977,297,23,12.75
Resident Evil HD Remaster,15347640,228960,114710,27,828,355,5,67.03
Retro,63766500,3732360,6271,143,4609,1478,86,17.08
RimWorld,29382120,1083300,6083,53,2069,681,25,27.12
Ring Of Elysium,9362880,1649580,1722,81,3173,217,38,5.68
Rise of the Tomb Raider,16780380,898380,120955,52,3356,388,20,18.68
Rising Storm 2: Vietnam,5806260,299100,7066,41,1469,134,6,19.41
ROBLOX,16362960,3311100,2639,137,15360,379,76,4.94
Rocket Knight Adventures,6672900,3660,106326,10,22,154,0,1823.2
Rocket League,245940120,12766680,173257,502,52849,5700,295,19.26
Rules of Survival,5243460,946260,7101,44,3476,121,21,5.54
Runbow,9411420,2220,103559,9,22,218,0,4239.38
RuneScape,427352400,6721980,70446,255,9704,9906,155,63.58
Russian Fishing 4,19776540,1198320,13016,69,1095,458,27,16.5
Rust,105976740,5165280,34699,338,10694,2456,119,20.52
Rusty Lake: Roots,4043880,13860,9898,5,47,93,0,291.77
Sea of Thieves,61681200,4948020,41503,261,12945,1429,114,12.47
Shadowverse,44265300,1235520,17929,86,1664,1026,28,35.83
Shantae and the Pirate's Curse,10784280,33480,128422,13,142,249,0,322.11
Shaq Fu: A Legend Reborn,4805040,61260,24462,30,440,111,1,78.44
Sid Meier's Civilization V,10080360,602880,1216,35,1821,233,13,16.72
Silver Grapple,5635620,1320,88866,9,12,130,0,4269.41
Slap City,10884720,90900,61652,22,674,252,2,119.74
Slay the Spire,57538620,1403940,11695,58,4765,1333,32,40.98
Smash TV,6860460,12840,88724,10,19,159,0,534.3
Smite,82969320,6195000,9590,257,13457,1923,143,13.39
Social Eating,14262300,121860,13606,10,1487,330,2,117.04
Soft Body,6933120,1080,118967,9,13,160,0,6419.56
Sonic Adventure DX: Director's Cut,7554060,64200,138393,16,295,175,1,117.66
Sonic the Hedgehog 2,4718940,34740,144084,11,185,109,0,135.84
Sonic the Hedgehog: Spinball,8050260,3660,136393,8,23,186,0,2199.52
Soul Worker,4822200,658260,399,38,823,111,15,7.33
Soulcalibur VI,3773160,1380,14197,4,10,87,0,2734.17
Spelunky,5089680,121560,3982,11,605,117,2,41.87
Splatoon 2,29763780,2437740,8987,355,4479,689,56,12.21
Splatterhouse,6120060,2700,100797,11,19,141,0,2266.69
Splatterhouse 2,4026060,1140,102008,8,13,93,0,3531.63
Splitgate: Arena Warfare,4866540,27120,44715,31,221,112,0,179.44
Spyro 2: Ripto's Rage,3823800,56220,104999,11,171,88,1,68.01
Spyro the Dragon,7888680,80940,116816,17,272,182,1,97.46
Squad,5686500,765600,3487,51,2395,131,17,7.43
Star Citizen,13686480,619260,11828,57,1070,317,14,22.1
Star Wars Battlefront II,5914620,918120,3015,51,5819,137,21,6.44
Star Wars: The Old Republic,5251920,767580,2308,43,1288,121,17,6.84
StarCraft,16862280,605280,10986,30,992,390,14,27.86
StarCraft II,297549180,3673560,61872,136,6228,6897,85,81
Stardew Valley,47183880,4059720,12698,200,11626,1093,94,11.62
State of Decay 2,22597800,3603840,6596,296,12258,523,83,6.27
Stellaris,7270260,623880,2040,42,1337,168,14,11.65
Street Fighter 30th Anniversary Collection,13339740,326040,10856,43,1719,309,7,40.91
Street Fighter V,117798240,1731360,25316,111,4071,2730,40,68.04
Streets of Rage 2,6990780,13620,117652,17,83,162,0,513.27
Subnautica,21976080,1260480,7030,66,3618,509,29,17.43
Summoners War: Sky Arena,32205780,841920,3302,42,1053,746,19,38.25
Super Ghouls 'N Ghosts,5877480,18660,8811,5,49,136,0,314.98
Super Mario 3D Land,12885120,16140,148720,15,42,298,0,798.33
Super Mario 64,28435080,859800,157501,43,1721,659,19,33.07
Super Mario Bros.,8383620,95280,137762,9,326,194,2,87.99
Super Mario Bros. 3,15996180,106980,163396,31,381,370,2,149.52
Super Mario Maker,63586740,541680,164695,30,660,1473,12,117.39
Super Mario Odyssey,23710380,569280,161784,36,1420,549,13,41.65
Super Mario World,24364200,377820,156617,31,1047,564,8,64.49
Super Metroid,19094760,358260,139222,27,674,442,8,53.3
Super Monkey Ball 2,8221080,47640,116013,12,102,190,1,172.57
Super Smash Bros. for Wii U,65594400,898320,27946,64,2095,1520,20,73.02
Super Smash Bros. Melee,52471080,828840,124689,51,2481,1216,19,63.31
Super Star Wars: The Empire Strikes Back,10483680,1740,105922,10,14,243,0,6025.1
surviv.io,4792800,528180,1552,29,1788,111,12,9.07
Tabletop Simulator,7971720,338100,10029,39,1658,184,7,23.58
Talk Shows & Podcasts,295705800,3034740,54624,354,9348,6854,70,97.44
Team Fortress 2,10832760,1413480,6310,74,4505,251,32,7.66
Tekken 7,62384820,1715580,18040,71,5356,1446,39,36.36
Tera,9008940,1501260,3246,77,3839,208,34,6
Terra Nova: Strike Force Centauri,5766540,1380,15670,4,9,133,0,4178.65
Terraria,33842820,1967880,5376,85,6059,784,45,17.2
Tetris The Grand Master 3: Terror Instinct,5861100,6660,16344,5,24,135,0,880.05
The Awesome Adventures of Captain Spirit,24469380,713820,33924,343,6394,567,16,34.28
The Binding of Isaac: Afterbirth,44932920,1172340,65789,60,3925,1041,27,38.33
The Crew 2,60096060,2866800,37298,510,12091,1393,66,20.96
The Elder Scrolls III: Morrowind,4789680,187860,6100,15,553,111,4,25.5
The Elder Scrolls Online,88928820,4855860,29815,209,10181,2061,112,18.31
The Elder Scrolls V: Skyrim,37628940,4064100,8519,168,11453,872,94,9.26
The Elder Scrolls: Legends,88796880,751740,3765,33,894,2058,17,118.12
The Forest,46541760,3118320,13728,174,10595,1078,72,14.93
